sep=;
Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;97.66;97.22;97.38;97.53;50,676;4,942,375;
2023-09-01;97.58;97.32;97.32;97.43;4,808;468,445;
2023-08-31;97.68;97.34;97.44;97.51;28,527;2,781,760;
2023-08-30;97.44;97.10;97.44;97.16;49,082;4,768,837;
2023-08-29;97.40;97.10;97.30;97.18;19,525;1,897,437;
2023-08-28;97.22;97.02;97.04;97.10;7,285;707,349;
2023-08-25;97.30;96.54;97.08;97.11;18,679;1,813,962;
2023-08-24;97.42;96.98;96.98;97.23;18,252;1,774,584;
2023-08-23;97.16;96.72;96.94;96.94;35,016;3,394,492;
2023-08-22;96.72;96.40;96.60;96.46;34,699;3,347,065;
2023-08-21;96.72;96.36;96.40;96.52;13,499;1,302,907;
2023-08-18;96.90;96.66;96.72;96.74;6,106;590,671;
2023-08-17;96.76;96.44;96.72;96.62;18,863;1,822,511;
2023-08-16;96.96;96.66;96.80;96.80;43,163;4,178,311;
2023-08-15;97.00;96.54;96.88;96.76;18,919;1,830,559;
2023-08-14;97.40;97.04;97.04;97.33;67,357;6,555,990;
2023-08-11;97.50;97.10;97.10;97.36;15,650;1,523,713;
2023-08-10;97.80;97.44;97.80;97.64;707,388;69,068,964;
2023-08-09;98.00;97.42;97.54;97.68;13,808;1,348,808;
2023-08-08;97.68;97.40;97.42;97.58;40,723;3,973,565;
2023-08-07;97.50;97.10;97.18;97.27;21,594;2,100,508;
2023-08-04;97.80;96.90;97.10;97.11;9,512;923,731;
2023-08-03;97.56;97.16;97.16;97.41;15,247;1,485,143;
2023-08-02;97.76;97.46;97.68;97.61;7,688;750,427;
2023-08-01;98.20;97.86;97.86;98.01;15,079;1,477,901;
2023-07-31;98.00;97.74;97.90;97.89;9,478;927,760;
2023-07-28;98.02;97.80;97.98;97.89;7,781;761,714;
2023-07-27;98.14;97.76;98.12;97.94;17,213;1,685,867;
2023-07-26;98.18;97.80;97.92;97.97;11,580;1,134,550;
2023-07-25;98.12;97.90;98.12;98.07;8,452;828,858;
2023-07-24;98.14;97.70;97.90;97.87;7,164;701,135;
2023-07-21;97.84;97.46;97.80;97.69;26,810;2,619,092;
2023-07-20;98.00;97.76;97.76;97.98;9,650;945,506;
2023-07-19;98.18;97.96;97.98;98.10;12,739;1,249,715;
2023-07-18;98.00;97.50;97.64;97.82;12,688;1,241,127;
2023-07-17;97.54;96.50;97.50;97.33;11,449;1,114,289;
2023-07-14;97.36;97.06;97.20;97.28;2,114;205,660;
2023-07-13;97.12;96.82;97.06;96.98;12,633;1,225,114;
2023-07-12;97.50;96.06;96.72;96.64;20,080;1,940,511;
2023-07-11;96.50;95.02;96.06;96.14;15,055;1,447,391;
2023-07-10;95.92;95.50;95.70;95.90;60,064;5,759,988;
2023-07-07;95.94;95.50;95.50;95.70;7,681;735,065;
2023-07-06;96.80;95.82;95.82;96.32;30,731;2,960,037;
2023-07-05;96.94;96.62;96.70;96.84;13,801;1,336,519;
2023-07-04;96.92;96.68;96.90;96.76;51,560;4,988,696;
2023-07-03;97.00;96.02;96.80;96.71;18,608;1,799,571;
2023-06-30;96.72;96.50;96.64;96.56;23,593;2,278,041;
2023-06-29;96.88;96.56;96.74;96.71;30,810;2,979,598;
2023-06-28;96.92;96.58;96.60;96.68;18,736;1,811,467;
2023-06-27;96.98;96.74;96.98;96.86;25,036;2,425,080;
2023-06-26;97.00;96.72;96.82;96.90;19,943;1,932,475;
2023-06-23;97.00;96.54;97.00;96.79;28,543;2,762,781;
2023-06-22;96.74;96.38;96.54;96.52;9,061;874,554;
2023-06-21;96.88;96.56;96.74;96.65;61,949;5,987,259;
2023-06-20;96.84;96.54;96.60;96.68;35,460;3,428,178;
2023-06-19;96.96;96.68;96.84;96.80;24,853;2,405,654;
2023-06-16;96.94;96.64;96.66;96.76;9,846;952,694;
2023-06-15;97.18;96.78;96.94;97.01;17,457;1,693,578;
2023-06-14;97.36;97.18;97.24;97.26;25,296;2,460,340;
2023-06-13;97.46;97.08;97.32;97.32;27,248;2,651,676;
2023-06-12;97.28;97.00;97.28;97.19;17,719;1,722,031;
2023-06-09;97.06;96.76;96.88;96.94;22,412;2,172,595;
2023-06-08;96.86;96.56;96.64;96.82;34,921;3,380,891;
2023-06-07;96.94;96.56;96.56;96.82;66,619;6,449,783;
2023-06-06;96.82;96.50;96.50;96.61;27,129;2,620,824;
2023-06-02;96.44;96.00;96.36;96.37;27,258;2,626,808;
2023-06-01;96.36;95.98;96.22;96.14;18,087;1,738,955;
2023-05-31;96.10;95.70;96.08;95.85;23,322;2,235,413;
2023-05-30;95.90;95.62;95.68;95.68;37,064;3,546,274;
2023-05-26;95.44;95.12;95.18;95.34;35,493;3,383,735;
2023-05-25;95.80;95.10;95.46;95.46;46,312;4,420,825;
2023-05-24;96.00;95.50;95.94;95.84;14,879;1,426,002;
2023-05-23;95.78;95.52;95.78;95.67;17,938;1,716,157;
2023-05-22;96.02;95.70;95.84;95.92;17,696;1,697,326;
2023-05-17;96.30;95.98;95.98;96.05;33,344;3,202,558;
2023-05-16;96.46;96.02;96.02;96.23;23,908;2,300,782;
2023-05-15;96.22;95.50;95.96;96.15;35,717;3,434,297;
2023-05-12;96.20;96.06;96.14;96.14;10,131;973,994;
2023-05-11;96.30;95.92;96.30;96.24;11,668;1,122,979;
2023-05-10;96.06;95.62;96.02;95.97;32,205;3,090,804;
2023-05-09;96.14;95.86;96.04;96.10;21,348;2,051,541;
2023-05-08;96.04;95.74;95.98;95.98;136,220;13,074,687;
2023-05-04;96.04;95.58;95.98;95.90;7,261;696,315;
2023-05-03;95.80;95.50;95.52;95.64;35,213;3,367,915;
2023-05-02;95.68;95.52;95.68;95.64;10,759;1,029,007;
2023-05-01;95.92;95.62;95.68;95.69;10,334;988,814;
2023-04-28;95.78;95.44;95.56;95.68;6,373;609,774;
2023-04-27;95.64;95.34;95.54;95.43;5,651;539,275;
2023-04-26;95.76;95.46;95.46;95.55;18,823;1,798,614;
2023-04-25;95.64;95.30;95.30;95.48;23,435;2,237,567;
2023-04-24;95.70;95.26;95.26;95.47;26,990;2,576,623;
2023-04-21;95.60;95.40;95.40;95.48;2,084;198,980;
2023-04-20;95.60;95.32;95.40;95.34;23,077;2,200,161;
2023-04-19;95.80;95.50;95.52;95.59;23,539;2,250,027;
2023-04-18;95.94;95.60;95.66;95.76;12,954;1,240,432;
2023-04-17;96.10;95.68;95.68;95.85;3,534;338,745;
2023-04-14;96.20;95.92;95.98;96.05;28,046;2,693,832;
2023-04-13;96.22;95.84;96.20;96.01;9,616;923,263;
2023-04-12;96.28;95.84;95.94;96.07;8,855;850,710;
2023-04-11;96.28;95.84;96.10;96.24;38,854;3,739,306;
2023-04-05;96.56;96.00;96.56;96.32;29,311;2,823,268;
2023-04-04;96.40;96.16;96.28;96.31;4,213;405,741;
2023-04-03;96.20;95.76;96.10;95.95;13,224;1,268,805;
2023-03-31;95.84;95.30;95.84;95.47;4,606;439,723;
2023-03-30;95.60;95.00;95.44;95.48;8,850;845,003;
2023-03-29;95.46;95.02;95.10;95.38;24,653;2,351,458;
2023-03-28;95.46;95.20;95.46;95.34;11,826;1,127,478;
2023-03-27;95.68;95.36;95.36;95.45;43,522;4,154,069;
2023-03-24;95.78;95.46;95.50;95.69;42,543;4,070,758;
2023-03-23;95.32;94.80;95.32;95.11;15,409;1,465,535;
2023-03-22;94.68;94.50;94.64;94.57;12,274;1,160,711;
2023-03-21;94.72;94.44;94.48;94.62;44,332;4,194,672;
2023-03-20;95.38;94.20;95.14;94.93;25,982;2,466,400;
2023-03-17;95.64;94.94;95.38;95.21;28,604;2,723,395;
2023-03-16;95.36;94.64;95.08;95.11;9,136;868,931;
2023-03-15;95.18;94.20;95.12;94.81;47,997;4,550,386;
2023-03-14;95.08;94.70;94.72;94.88;45,177;4,286,350;
2023-03-13;95.70;95.16;95.20;95.41;14,164;1,351,367;
2023-03-10;95.06;94.78;94.88;94.92;32,499;3,084,830;
2023-03-09;94.86;94.44;94.86;94.56;10,308;974,694;
2023-03-08;94.84;94.34;94.66;94.62;43,405;4,106,893;
2023-03-07;94.66;94.30;94.66;94.57;5,511;521,152;
2023-03-06;94.70;94.36;94.48;94.52;19,324;1,826,528;
2023-03-03;94.58;94.20;94.24;94.44;15,631;1,476,223;
2023-03-02;94.46;94.20;94.44;94.42;15,145;1,430,006;
2023-03-01;94.76;94.40;94.40;94.49;5,736;541,974;
2023-02-28;95.00;94.70;94.76;94.80;5,787;548,621;
2023-02-27;95.34;95.10;95.34;95.29;19,419;1,850,412;
2023-02-24;96.20;95.20;95.34;95.62;25,867;2,473,319;
2023-02-23;95.44;95.02;95.44;95.33;21,163;2,017,572;
2023-02-22;96.00;95.06;95.42;95.31;9,740;928,309;
2023-02-21;95.60;95.00;95.40;95.39;9,431;899,625;
2023-02-20;95.82;95.54;95.68;95.67;35,018;3,350,139;
2023-02-17;95.86;95.28;95.86;95.51;8,730;833,830;
2023-02-16;95.86;95.44;95.44;95.61;17,729;1,695,079;
2023-02-15;96.04;95.82;95.82;95.91;26,473;2,539,005;
2023-02-14;96.24;95.84;96.04;96.06;24,484;2,351,901;
2023-02-13;96.26;96.06;96.06;96.21;27,037;2,601,322;
2023-02-10;96.28;96.02;96.26;96.17;20,576;1,978,743;
2023-02-09;96.50;96.18;96.24;96.41;33,479;3,227,760;
2023-02-08;96.38;96.12;96.18;96.33;56,164;5,410,123;
2023-02-07;96.60;96.12;96.20;96.36;14,189;1,367,233;
2023-02-06;96.58;96.30;96.48;96.39;11,694;1,127,162;
2023-02-03;97.08;96.00;96.52;96.79;26,905;2,604,159;
2023-02-02;97.74;95.84;96.44;96.26;39,909;3,841,714;
2023-02-01;96.00;95.72;95.80;95.85;19,269;1,846,953;
2023-01-31;98.50;98.28;98.28;98.40;7,662;753,955;
2023-01-30;98.66;98.46;98.50;98.58;12,105;1,193,315;
2023-01-27;98.90;98.40;98.90;98.56;3,274;322,674;
2023-01-26;99.00;98.20;98.78;98.78;1,751;172,961;
2023-01-25;99.30;98.82;99.00;99.02;12,491;1,236,875;
2023-01-24;98.82;98.44;98.82;98.65;13,037;1,286,127;
2023-01-23;98.76;98.28;98.76;98.63;22,764;2,245,164;
2023-01-20;98.94;98.60;98.86;98.82;19,974;1,973,837;
2023-01-19;99.26;98.88;99.18;99.08;25,979;2,573,920;
2023-01-18;99.56;98.92;99.32;99.10;82,454;8,171,191;
2023-01-17;98.98;98.00;98.92;98.59;21,306;2,100,660;
2023-01-16;98.68;98.36;98.64;98.52;12,449;1,226,452;
2023-01-13;98.50;98.24;98.32;98.26;68,090;6,691,068;
2023-01-12;98.32;98.00;98.22;98.15;22,131;2,172,163;
2023-01-11;97.92;97.66;97.92;97.73;5,672;554,316;
2023-01-10;97.62;97.38;97.40;97.49;13,441;1,310,361;
2023-01-09;98.00;97.34;97.38;97.53;40,143;3,915,314;
2023-01-06;97.54;97.08;97.54;97.35;22,146;2,155,977;
