Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;103.20;102.65;103.10;102.99;53,719;5,532,260;
2023-09-01;103.10;102.85;103.10;103.00;5,185;534,052;
2023-08-31;103.35;103.10;103.25;103.23;4,605;475,389;
2023-08-30;103.10;102.75;103.10;102.97;6,387;657,652;
2023-08-29;103.25;103.05;103.25;103.17;9,958;1,027,362;
2023-08-28;102.95;102.30;102.95;102.87;10,788;1,109,790;
2023-08-25;103.00;102.30;102.30;102.78;14,153;1,454,716;
2023-08-24;102.80;102.45;102.60;102.68;7,479;767,910;
2023-08-23;102.40;102.35;102.40;102.38;3,948;404,178;
2023-08-22;102.00;101.75;102.00;101.82;7,657;779,672;
2023-08-21;101.85;101.45;101.75;101.84;19,401;1,975,849;
2023-08-18;102.15;101.60;101.60;101.91;10,270;1,046,617;
2023-08-17;102.00;101.90;102.00;101.99;1,594;162,577;
2023-08-16;102.30;102.05;102.25;102.19;5,702;582,700;
2023-08-15;102.10;101.90;102.10;102.06;10,141;1,035,002;
2023-08-14;102.65;102.50;102.60;102.63;3,021;310,038;
2023-08-11;102.60;102.20;102.60;102.53;10,624;1,089,274;
2023-08-10;102.75;102.35;102.45;102.74;392,799;40,355,912;
2023-08-09;102.60;102.20;102.20;102.59;4,839;496,443;
2023-08-08;102.85;102.75;102.85;102.80;15,183;1,560,836;
2023-08-07;102.75;102.50;102.65;102.72;6,779;696,309;
2023-08-04;102.40;101.75;102.30;102.19;4,004;409,160;
2023-08-03;102.75;102.35;102.35;102.70;12,858;1,320,558;
2023-08-02;103.05;102.55;102.80;102.71;1,412;145,027;
2023-08-01;103.55;103.25;103.35;103.29;3,510;362,556;
2023-07-31;103.55;103.45;103.45;103.54;379;39,242;
2023-07-28;103.40;103.40;103.40;103.40;2,352;243,197;
2023-07-27;103.10;103.05;103.05;103.08;4,971;512,394;
2023-07-26;103.25;102.65;103.10;103.08;6,582;678,473;
2023-07-25;103.10;102.90;103.05;103.00;5,825;599,986;
2023-07-24;102.90;102.30;102.90;102.40;37,469;3,836,844;
2023-07-21;102.40;101.85;102.40;102.07;2,255;230,157;
2023-07-20;102.20;102.00;102.20;102.17;9,594;980,247;
2023-07-19;102.25;101.65;101.65;102.09;1,190;121,490;
2023-07-18;101.95;101.25;101.50;101.82;4,284;436,179;
2023-07-17;101.65;101.00;101.65;101.31;4,408;446,558;
2023-07-14;101.80;101.70;101.80;101.80;3,430;349,164;
2023-07-13;101.70;101.15;101.70;101.45;486;49,302;
2023-07-12;101.70;101.35;101.70;101.53;5,361;544,287;
2023-07-11;101.40;101.25;101.40;101.40;6,047;613,159;
2023-07-10;101.20;98.58;100.45;100.52;31,900;3,206,738;
2023-07-07;101.20;101.15;101.15;101.17;3,261;329,908;
2023-07-06;101.90;100.90;101.40;101.36;23,476;2,379,508;
2023-07-05;102.05;101.70;101.70;101.91;913;93,044;
2023-07-04;102.10;101.75;102.10;101.98;29,696;3,028,316;
2023-07-03;101.80;101.30;101.80;101.67;2,167;220,323;
2023-06-30;101.65;101.35;101.65;101.57;16,082;1,633,394;
2023-06-29;101.45;101.35;101.45;101.40;262;26,567;
2023-06-28;101.40;101.35;101.40;101.39;3,430;347,754;
2023-06-27;101.45;100.85;101.35;101.14;7,799;788,797;
2023-06-26;101.55;100.90;101.40;101.06;9,452;955,174;
2023-06-23;101.45;101.25;101.45;101.26;54,604;5,528,949;
2023-06-22;101.15;100.45;101.10;101.11;4,893;494,747;
2023-06-21;101.45;101.05;101.20;101.28;5,872;594,717;
2023-06-20;101.45;101.45;101.45;101.45;910;92,320;
2023-06-19;101.40;101.15;101.35;101.36;4,276;433,430;
2023-06-16;101.40;101.20;101.30;101.28;7,497;759,329;
2023-06-15;101.55;101.50;101.50;101.53;2,165;219,813;
2023-06-14;101.80;101.50;101.55;101.69;5,840;593,847;
2023-06-13;101.90;101.65;101.75;101.73;3,688;375,193;
2023-06-12;101.65;101.20;101.60;101.59;20,448;2,077,393;
2023-06-09;101.20;101.10;101.20;101.13;5,331;539,124;
2023-06-08;100.95;100.60;100.85;100.84;14,089;1,420,783;
2023-06-07;101.05;100.95;100.95;100.97;18,718;1,889,977;
2023-06-06;100.65;99.82;100.50;100.43;7,345;737,659;
2023-06-02;99.82;99.82;99.82;99.82;1,850;184,667;
2023-06-01;99.64;99.16;99.64;99.45;4,533;450,805;
2023-05-31;99.44;98.80;99.40;99.40;17,527;1,742,239;
2023-05-30;99.14;98.60;98.88;98.85;4,458;440,663;
2023-05-26;98.60;98.02;98.38;98.44;2,614;257,335;
2023-05-25;98.88;98.64;98.88;98.84;895;88,459;
2023-05-24;98.90;98.60;98.68;98.76;2,917;288,074;
2023-05-23;98.76;98.54;98.74;98.69;5,138;507,055;
2023-05-22;98.72;98.42;98.72;98.62;2,689;265,197;
2023-05-17;98.60;98.42;98.42;98.55;488;48,094;
2023-05-16;98.60;98.20;98.48;98.53;17,800;1,753,901;
2023-05-15;98.32;97.90;97.90;98.23;16,950;1,664,932;
2023-05-12;98.02;97.98;97.98;97.98;4,887;478,848;
2023-05-11;98.18;97.80;97.96;98.12;3,745;367,443;
2023-05-10;97.80;97.60;97.80;97.64;1,885;184,043;
2023-05-09;98.02;97.50;98.02;97.94;14,068;1,377,844;
2023-05-08;97.76;97.70;97.76;97.70;33,283;3,251,755;
2023-05-04;97.50;97.50;97.50;97.50;195;19,013;
2023-05-03;97.32;97.00;97.32;97.26;5,189;504,694;
2023-05-02;97.56;96.92;97.40;97.35;5,008;487,505;
2023-05-01;97.58;97.08;97.58;97.11;2,964;287,832;
2023-04-28;97.56;97.56;97.56;97.56;1,109;108,194;
2023-04-27;97.22;97.14;97.22;97.22;3,796;369,033;
2023-04-26;97.22;96.74;97.22;97.01;800;77,606;
2023-04-25;97.48;97.48;97.48;97.48;617;60,145;
2023-04-24;97.50;97.22;97.38;97.46;6,180;602,301;
2023-04-21;97.54;97.40;97.40;97.52;399;38,912;
2023-04-20;97.62;97.48;97.48;97.50;2,224;216,837;
2023-04-19;97.78;97.44;97.68;97.65;11,472;1,120,198;
2023-04-18;97.76;97.42;97.66;97.53;9,371;913,976;
2023-04-17;97.82;97.32;97.80;97.76;17,701;1,730,493;
2023-04-14;97.66;97.32;97.32;97.54;3,257;317,689;
2023-04-13;97.44;96.98;97.34;97.34;7,246;705,294;
2023-04-12;97.58;97.08;97.20;97.39;5,093;496,015;
2023-04-11;97.44;96.98;96.98;97.11;3,652;354,632;
2023-04-05;97.62;96.98;97.54;97.18;3,810;370,265;
2023-04-04;97.74;97.62;97.74;97.67;6,869;670,899;
2023-04-03;97.56;96.98;97.30;97.47;6,151;599,536;
2023-03-31;96.86;96.24;96.86;96.70;1,618;156,461;
2023-03-30;96.56;96.34;96.52;96.50;11,575;1,117,016;
2023-03-29;96.12;95.62;96.06;95.66;14,994;1,434,316;
2023-03-28;98.08;95.58;95.58;96.14;13,030;1,252,702;
2023-03-27;96.22;95.68;95.70;95.90;29,443;2,823,519;
2023-03-24;96.12;95.76;95.76;95.96;3,641;349,382;
2023-03-23;96.16;95.66;96.16;95.92;2,742;263,011;
2023-03-22;95.88;95.88;95.88;95.88;97;9,300;
2023-03-21;95.30;94.90;95.26;95.23;21,771;2,073,209;
2023-03-20;96.84;95.44;95.82;95.94;4,758;456,495;
2023-03-17;97.02;96.40;96.84;96.84;8,390;812,456;
2023-03-16;96.88;96.62;96.62;96.71;633;61,215;
2023-03-15;97.48;96.50;97.48;97.08;1,236;119,993;
2023-03-14;97.22;96.84;97.18;97.14;7,361;715,047;
2023-03-13;97.70;97.30;97.60;97.63;4,457;435,152;
2023-03-10;97.92;97.30;97.30;97.43;823;80,185;
2023-03-09;97.62;97.04;97.62;97.33;404;39,322;
2023-03-08;97.84;97.44;97.84;97.66;3,217;314,167;
2023-03-07;97.72;97.64;97.64;97.65;3,891;379,952;
2023-03-06;97.80;97.58;97.72;97.67;1,874;183,042;
2023-03-03;;;97.48;;;;
2023-03-02;97.48;97.34;97.48;97.41;5,955;580,098;
2023-03-01;97.36;96.88;97.00;97.00;3,230;313,297;
2023-02-28;97.60;97.22;97.60;97.40;1,199;116,785;
2023-02-27;97.82;97.22;97.22;97.70;250;24,425;
2023-02-24;97.72;97.52;97.72;97.56;1,484;144,775;
2023-02-23;97.40;97.18;97.30;97.32;2,600;253,036;
2023-02-22;97.16;96.54;97.06;96.96;3,089;299,504;
2023-02-21;97.50;97.44;97.46;97.47;1,638;159,650;
2023-02-20;97.54;97.30;97.50;97.50;13,969;1,361,947;
