Date;Highprice;Lowprice;Closingprice;Gennemsnitligepris;Totalvolume;Omsætning;
2023-09-01;977,70;972,31;974,80;;1;;
2023-08-31;979,02;960,93;974,62;;1;;
2023-08-30;985,64;970,28;977,92;;1;;
2023-08-29;983,18;972,93;973,48;;1;;
2023-08-28;980,88;969,04;976,89;;1;;
2023-08-25;977,81;970,23;975,44;;1;;
2023-08-24;984,32;970,70;974,82;;1;;
2023-08-23;984,30;975,12;980,55;;1;;
2023-08-22;984,77;974,02;979,13;;1;;
2023-08-21;985,28;969,84;976,82;;1;;
2023-08-18;989,46;975,06;976,35;;1;;
2023-08-17;986,56;979,48;982,70;;1;;
2023-08-16;988,06;981,74;984,11;;1;;
2023-08-15;985,73;971,72;983,43;;1;;
2023-08-14;986,36;973,93;983,52;;1;;
2023-08-11;987,93;974,22;978,39;;1;;
2023-08-10;986,89;973,59;982,97;;1;;
2023-08-09;991,12;977,46;984,55;;1;;
2023-08-08;983,61;974,57;980,77;;1;;
2023-08-07;982,18;973,20;976,90;;1;;
2023-08-04;979,56;966,62;979,55;;1;;
2023-08-03;974,21;966,24;973,78;;1;;
2023-08-02;978,14;970,18;972,67;;1;;
2023-08-01;980,91;973,00;979,19;;1;;
2023-07-31;984,63;968,17;979,52;;1;;
2023-07-28;984,38;967,67;983,90;;1;;
2023-07-27;979,55;968,07;971,77;;1;;
2023-07-26;979,71;971,82;973,09;;1;;
2023-07-25;980,44;970,96;980,42;;1;;
2023-07-24;976,26;960,74;975,34;;1;;
2023-07-21;975,72;961,83;975,70;;1;;
2023-07-20;976,73;966,63;974,45;;1;;
2023-07-19;974,42;964,12;974,09;;1;;
2023-07-18;964,95;956,74;963,53;;1;;
2023-07-17;960,05;953,10;958,69;;1;;
2023-07-14;962,60;958,32;960,70;;1;;
2023-07-13;960,77;954,68;959,87;;1;;
2023-07-12;958,93;951,12;957,09;;1;;
2023-07-11;957,57;949,67;951,72;;1;;
2023-07-10;960,99;950,71;953,40;;1;;
2023-07-07;962,72;951,09;962,71;;1;;
2023-07-06;960,79;953,67;958,84;;1;;
2023-07-05;967,61;954,71;958,20;;1;;
2023-07-04;961,97;947,55;956,08;;1;;
2023-07-03;953,69;935,21;952,42;;1;;
2023-06-30;945,45;940,75;944,04;;1;;
2023-06-29;951,07;942,67;945,17;;1;;
2023-06-28;951,19;945,19;949,54;;1;;
2023-06-27;951,86;941,07;950,38;;1;;
2023-06-26;954,00;946,45;947,72;;1;;
2023-06-23;962,08;953,11;955,96;;1;;
2023-06-22;965,49;958,82;962,85;;1;;
2023-06-21;963,08;956,55;963,07;;1;;
2023-06-20;962,21;958,26;960,94;;1;;
2023-06-19;968,94;960,88;961,27;;1;;
2023-06-16;974,80;967,71;968,19;;1;;
2023-06-15;972,70;967,46;970,75;;1;;
2023-06-14;977,16;968,68;973,14;;1;;
2023-06-13;977,43;968,03;973,00;;1;;
2023-06-12;981,78;972,91;981,77;;1;;
2023-06-09;981,54;974,51;978,73;;1;;
2023-06-08;984,98;975,55;976,68;;1;;
2023-06-07;981,37;974,96;978,49;;1;;
2023-06-06;978,95;969,84;977,07;;1;;
2023-06-05;966,12;966,08;966,09;;1;;
2023-06-02;970,35;958,82;966,10;;1;;
2023-06-01;964,74;958,14;962,38;;1;;
2023-05-31;971,76;953,41;959,56;;1;;
2023-05-30;970,60;956,57;968,74;;1;;
2023-05-29;958,16;958,14;958,15;;1;;
2023-05-26;960,15;952,96;958,15;;1;;
