Date;Highprice;Lowprice;Closingprice;Gennemsnitligepris;Totalvolume;Omsætning;
2023-09-01;672,72;668,92;669,41;;1;;
2023-08-31;673,36;670,14;672,58;;1;;
2023-08-30;673,77;669,00;670,76;;1;;
2023-08-29;673,46;669,12;671,16;;1;;
2023-08-28;671,03;667,95;669,69;;1;;
2023-08-25;670,36;666,38;666,94;;1;;
2023-08-24;672,72;666,61;667,62;;1;;
2023-08-23;671,44;667,13;669,56;;1;;
2023-08-22;671,23;666,51;669,25;;1;;
2023-08-21;670,22;665,26;666,47;;1;;
2023-08-18;675,85;666,16;668,50;;1;;
2023-08-17;678,87;676,10;677,78;;1;;
2023-08-16;681,52;677,16;678,82;;1;;
2023-08-15;686,13;680,57;681,08;;1;;
2023-08-14;688,30;685,38;687,02;;1;;
2023-08-11;693,45;687,57;688,71;;1;;
2023-08-10;695,63;691,68;693,99;;1;;
2023-08-09;696,59;693,86;694,39;;1;;
2023-08-08;700,02;691,73;693,28;;1;;
2023-08-07;703,87;698,37;699,56;;1;;
2023-08-04;701,81;697,17;701,81;;1;;
2023-08-03;699,84;695,58;696,62;;1;;
2023-08-02;699,66;696,44;697,72;;1;;
2023-08-01;705,39;699,50;701,78;;1;;
2023-07-31;703,33;699,09;703,10;;1;;
2023-07-28;703,62;698,60;699,08;;1;;
2023-07-27;705,11;700,44;704,30;;1;;
2023-07-26;702,62;697,39;698,85;;1;;
2023-07-25;702,06;698,37;701,40;;1;;
2023-07-24;697,10;693,10;696,82;;1;;
2023-07-21;695,49;690,42;692,26;;1;;
2023-07-20;695,54;693,20;695,37;;1;;
2023-07-19;694,86;690,41;693,96;;1;;
2023-07-18;692,43;690,35;692,27;;1;;
2023-07-17;695,02;690,14;690,90;;1;;
2023-07-14;698,68;692,06;693,16;;1;;
2023-07-13;698,83;694,66;698,14;;1;;
2023-07-12;696,36;688,21;696,27;;1;;
2023-07-11;690,98;685,79;690,00;;1;;
2023-07-10;687,94;683,65;687,10;;1;;
2023-07-07;688,59;683,93;688,59;;1;;
2023-07-06;686,96;682,36;683,09;;1;;
2023-07-05;690,80;686,99;687,91;;1;;
2023-07-04;692,22;688,95;692,22;;1;;
2023-07-03;693,77;686,01;688,59;;1;;
2023-06-30;690,74;685,91;689,98;;1;;
2023-06-29;688,30;683,10;685,03;;1;;
2023-06-28;687,31;682,45;683,28;;1;;
2023-06-27;689,23;682,11;683,45;;1;;
2023-06-26;694,74;686,46;688,45;;1;;
2023-06-23;694,53;692,23;693,42;;1;;
2023-06-22;694,08;691,22;693,15;;1;;
2023-06-21;697,18;692,43;693,00;;1;;
2023-06-20;701,09;695,65;696,44;;1;;
2023-06-19;707,32;698,04;698,43;;1;;
2023-06-16;710,82;707,27;708,69;;1;;
2023-06-15;710,27;706,04;708,47;;1;;
2023-06-14;712,05;708,96;709,78;;1;;
2023-06-13;711,95;706,84;711,38;;1;;
2023-06-12;708,57;703,37;708,25;;1;;
2023-06-09;708,18;702,61;704,17;;1;;
2023-06-08;704,08;697,30;702,56;;1;;
2023-06-07;705,97;700,86;702,79;;1;;
2023-06-06;706,78;701,55;703,23;;1;;
2023-06-05;706,78;701,99;702,77;;1;;
2023-06-02;707,53;702,88;707,14;;1;;
2023-06-01;707,63;699,06;700,74;;1;;
2023-05-31;707,78;702,61;705,00;;1;;
2023-05-30;718,62;706,70;706,70;;1;;
2023-05-29;719,23;711,99;713,45;;1;;
2023-05-26;721,97;715,88;717,79;;1;;
2023-05-25;722,71;716,11;717,87;;1;;
2023-05-24;727,77;716,91;718,65;;1;;
2023-05-23;734,77;726,40;727,99;;1;;
2023-05-22;730,79;725,14;728,92;;1;;
2023-05-19;729,54;726,36;728,59;;1;;
2023-05-18;728,28;726,09;726,15;;1;;
2023-05-17;732,09;726,90;728,05;;1;;
2023-05-16;736,58;728,93;731,44;;1;;
2023-05-15;737,72;733,37;736,01;;1;;
2023-05-12;741,44;735,51;737,51;;1;;
2023-05-11;749,56;741,99;742,89;;1;;
2023-05-10;748,57;744,39;745,38;;1;;
2023-05-09;753,95;745,36;746,45;;1;;
2023-05-08;757,81;752,53;754,26;;1;;
2023-05-05;756,31;749,63;755,87;;1;;
2023-05-04;749,85;746,15;748,07;;1;;
2023-05-03;756,18;749,98;750,52;;1;;
2023-05-02;761,64;754,69;754,72;;1;;
2023-05-01;761,72;759,52;760,30;;1;;
