Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;7,561.51;7,514.77;7,514.77;;1;;
2023-09-01;7,540.59;7,486.16;7,509.56;;1;;
2023-08-31;7,530.24;7,483.81;7,497.70;;1;;
2023-08-30;7,534.93;7,473.22;7,474.56;;1;;
2023-08-29;7,559.19;7,517.01;7,527.46;;1;;
2023-08-28;7,517.64;7,459.83;7,507.31;;1;;
2023-08-25;7,516.58;7,448.88;7,471.49;;1;;
2023-08-24;7,530.04;7,462.58;7,467.32;;1;;
2023-08-23;7,492.17;7,432.58;7,443.05;;1;;
2023-08-22;7,507.46;7,453.41;7,455.42;;1;;
2023-08-21;7,517.17;7,451.70;7,467.94;;1;;
2023-08-18;7,483.17;7,425.59;7,465.30;;1;;
2023-08-17;7,516.03;7,467.86;7,493.62;;1;;
2023-08-16;7,519.21;7,447.18;7,492.38;;1;;
2023-08-15;7,587.57;7,516.98;7,523.59;;1;;
2023-08-14;7,586.93;7,527.21;7,585.05;;1;;
2023-08-11;7,619.34;7,566.23;7,571.48;;1;;
2023-08-10;7,664.44;7,602.38;7,627.35;;1;;
2023-08-09;7,687.93;7,633.59;7,658.83;;1;;
2023-08-08;7,599.62;7,541.75;7,593.09;;1;;
2023-08-07;7,619.47;7,558.64;7,579.28;;1;;
2023-08-04;7,588.67;7,529.30;7,572.15;;1;;
2023-08-03;7,577.45;7,527.12;7,536.26;;1;;
2023-08-02;7,579.81;7,529.72;7,536.78;;1;;
2023-08-01;7,609.02;7,574.56;7,594.39;;1;;
2023-07-31;7,606.18;7,532.60;7,581.14;;1;;
2023-07-28;7,579.24;7,534.84;7,541.41;;1;;
2023-07-27;7,606.60;7,559.34;7,601.18;;1;;
2023-07-26;7,587.72;7,530.72;7,537.64;;1;;
2023-07-25;7,583.49;7,535.86;7,580.03;;1;;
2023-07-24;7,605.38;7,543.62;7,557.76;;1;;
2023-07-21;7,614.02;7,561.84;7,604.14;;1;;
2023-07-20;7,617.91;7,584.80;7,598.48;;1;;
2023-07-19;7,636.15;7,593.40;7,624.13;;1;;
2023-07-18;7,610.95;7,570.80;7,610.95;;1;;
2023-07-17;7,608.11;7,563.56;7,592.36;;1;;
2023-07-14;7,643.22;7,614.18;7,622.59;;1;;
2023-07-13;7,658.50;7,599.10;7,627.93;;1;;
2023-07-12;7,601.03;7,504.95;7,594.11;;1;;
2023-07-11;7,578.18;7,521.40;7,549.69;;1;;
2023-07-10;7,576.77;7,526.03;7,547.40;;1;;
2023-07-07;7,573.76;7,506.02;7,568.57;;1;;
2023-07-06;7,608.20;7,512.68;7,515.86;;1;;
2023-07-05;7,669.32;7,613.50;7,613.50;;1;;
2023-07-04;7,728.74;7,690.89;7,700.28;;1;;
2023-07-03;7,743.45;7,677.34;7,708.18;;1;;
2023-06-30;7,726.92;7,657.48;7,707.34;;1;;
2023-06-29;7,647.16;7,582.94;7,647.16;;1;;
2023-06-28;7,602.86;7,559.71;7,589.58;;1;;
2023-06-27;7,674.65;7,535.51;7,556.31;;1;;
2023-06-26;7,710.46;7,620.71;7,653.70;;1;;
2023-06-23;7,722.52;7,670.07;7,704.22;;1;;
2023-06-22;7,733.72;7,687.31;7,723.17;;1;;
2023-06-21;7,775.92;7,735.50;7,763.92;;1;;
2023-06-20;7,798.62;7,756.75;7,776.84;;1;;
2023-06-19;7,856.98;7,761.44;7,771.19;;1;;
2023-06-16;7,923.72;7,880.96;7,917.76;;1;;
2023-06-15;7,943.56;7,880.30;7,890.84;;1;;
2023-06-14;7,965.10;7,915.88;7,927.32;;1;;
2023-06-13;7,953.55;7,881.97;7,939.99;;1;;
2023-06-12;7,948.19;7,891.94;7,920.67;;1;;
2023-06-09;7,909.82;7,875.87;7,905.62;;1;;
2023-06-08;7,867.64;7,816.20;7,863.74;;1;;
2023-06-07;7,842.34;7,785.68;7,827.58;;1;;
2023-06-06;7,823.71;7,782.55;7,816.56;;1;;
2023-06-02;7,807.13;7,767.30;7,803.91;;1;;
2023-06-01;7,770.42;7,724.33;7,760.86;;1;;
2023-05-31;7,749.83;7,697.09;7,706.77;;1;;
2023-05-30;7,832.20;7,752.04;7,764.43;;1;;
2023-05-26;7,794.75;7,749.30;7,789.27;;1;;
2023-05-25;7,762.96;7,705.43;7,741.21;;1;;
2023-05-24;7,783.91;7,718.42;7,727.87;;1;;
2023-05-23;7,850.34;7,805.29;7,805.29;;1;;
2023-05-22;7,851.10;7,802.17;7,851.10;;1;;
2023-05-17;7,827.20;7,784.26;7,784.26;;1;;
2023-05-16;7,851.79;7,809.46;7,819.31;;1;;
2023-05-15;7,819.72;7,781.35;7,819.72;;1;;
2023-05-12;7,794.95;7,736.73;7,777.52;;1;;
2023-05-11;7,782.48;7,708.19;7,749.29;;1;;
2023-05-10;7,741.18;7,665.48;7,702.58;;1;;
2023-05-09;7,724.86;7,664.76;7,720.09;;1;;
2023-05-08;7,731.10;7,685.51;7,729.00;;1;;
2023-05-04;7,663.35;7,611.37;7,628.25;;1;;
2023-05-03;7,720.84;7,645.08;7,682.08;;1;;
2023-05-02;7,778.38;7,701.20;7,704.64;;1;;
2023-05-01;7,802.74;7,739.89;7,777.26;;1;;
2023-04-28;7,740.36;7,674.46;7,724.37;;1;;
2023-04-27;7,740.39;7,603.81;7,714.23;;1;;
2023-04-26;7,608.02;7,524.95;7,607.88;;1;;
2023-04-25;7,707.17;7,625.43;7,625.43;;1;;
2023-04-24;7,729.00;7,659.90;7,727.27;;1;;
2023-04-21;7,678.96;7,626.26;7,669.39;;1;;
2023-04-20;7,700.74;7,657.10;7,669.78;;1;;
2023-04-19;7,704.50;7,644.69;7,695.97;;1;;
2023-04-18;7,827.07;7,695.00;7,702.50;;1;;
2023-04-17;7,848.52;7,756.58;7,795.19;;1;;
2023-04-14;7,790.56;7,713.46;7,788.45;;1;;
2023-04-13;7,720.30;7,659.91;7,719.95;;1;;
