Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-08;496.58;493.79;495.14;;1;;
2023-09-07;497.48;494.99;495.16;;1;;
2023-09-06;498.36;494.39;497.93;;1;;
2023-09-05;499.22;496.64;498.48;;1;;
2023-09-04;500.44;497.63;499.16;;1;;
2023-09-01;500.75;497.86;499.09;;1;;
2023-08-31;500.90;496.97;499.84;;1;;
2023-08-30;499.23;495.68;496.72;;1;;
2023-08-29;498.99;495.15;498.38;;1;;
2023-08-28;498.27;494.17;496.08;;1;;
2023-08-25;499.21;495.90;496.89;;1;;
2023-08-24;499.98;496.87;497.96;;1;;
2023-08-23;498.99;496.33;497.73;;1;;
2023-08-22;497.85;494.69;495.27;;1;;
2023-08-21;497.10;494.37;495.30;;1;;
2023-08-18;499.35;492.55;494.74;;1;;
2023-08-17;498.53;496.12;497.31;;1;;
2023-08-16;500.16;495.25;497.42;;1;;
2023-08-15;499.62;496.16;499.07;;1;;
2023-08-14;499.52;494.64;498.75;;1;;
2023-08-11;501.18;498.30;500.54;;1;;
2023-08-10;501.64;498.55;499.72;;1;;
2023-08-09;502.33;499.20;499.96;;1;;
2023-08-08;503.90;499.05;500.74;;1;;
2023-08-07;503.46;499.02;500.82;;1;;
2023-08-04;498.38;496.15;498.38;;1;;
2023-08-03;497.70;495.13;496.44;;1;;
2023-08-02;496.89;492.18;496.82;;1;;
2023-08-01;495.08;492.78;494.48;;1;;
2023-07-31;493.98;490.75;493.79;;1;;
2023-07-28;494.21;490.07;490.91;;1;;
2023-07-27;494.11;490.09;494.11;;1;;
2023-07-26;492.09;489.72;492.01;;1;;
2023-07-25;493.20;490.88;491.12;;1;;
2023-07-24;493.57;488.88;491.03;;1;;
2023-07-21;492.55;489.90;491.94;;1;;
2023-07-20;490.31;485.69;490.31;;1;;
2023-07-19;487.99;484.83;486.35;;1;;
2023-07-18;490.58;486.50;487.00;;1;;
2023-07-17;489.99;487.83;489.06;;1;;
2023-07-14;489.84;487.53;489.59;;1;;
2023-07-13;490.78;487.83;489.74;;1;;
2023-07-12;490.26;487.99;489.07;;1;;
2023-07-11;491.26;487.42;489.38;;1;;
2023-07-10;490.25;487.18;489.06;;1;;
2023-07-07;492.59;489.66;492.18;;1;;
2023-07-06;494.17;487.24;492.34;;1;;
2023-07-05;490.29;487.39;487.99;;1;;
2023-07-04;489.54;487.71;489.46;;1;;
2023-07-03;490.89;488.14;489.03;;1;;
2023-06-30;489.30;484.99;489.10;;1;;
2023-06-29;486.69;484.61;486.28;;1;;
2023-06-28;488.47;482.95;484.54;;1;;
2023-06-27;488.30;485.76;486.53;;1;;
2023-06-26;490.00;487.04;487.44;;1;;
2023-06-23;490.38;487.44;488.69;;1;;
2023-06-22;490.28;486.35;490.08;;1;;
2023-06-21;490.99;485.99;486.61;;1;;
2023-06-20;491.24;486.28;489.23;;1;;
2023-06-19;492.47;485.11;485.48;;1;;
2023-06-16;492.05;487.24;492.01;;1;;
2023-06-15;491.21;487.49;487.96;;1;;
2023-06-14;491.98;488.38;491.04;;1;;
2023-06-13;492.32;488.66;491.03;;1;;
2023-06-12;490.20;484.59;490.20;;1;;
2023-06-09;491.97;483.12;486.05;;1;;
2023-06-08;493.10;480.46;483.67;;1;;
2023-06-07;490.25;482.26;485.09;;1;;
2023-06-06;491.14;480.46;483.42;;1;;
2023-06-02;489.52;481.32;484.60;;1;;
2023-06-01;489.26;481.99;483.44;;1;;
2023-05-31;489.73;481.14;482.59;;1;;
2023-05-30;495.10;484.43;485.44;;1;;
2023-05-26;493.31;484.42;486.63;;1;;
2023-05-25;496.34;485.99;488.13;;1;;
2023-05-24;496.77;487.20;488.26;;1;;
2023-05-23;504.18;485.28;489.37;;1;;
2023-05-22;489.87;477.14;487.52;;1;;
2023-05-17;479.57;477.18;478.90;;1;;
2023-05-16;479.42;475.86;478.35;;1;;
2023-05-15;479.69;475.79;478.25;;1;;
2023-05-12;479.15;476.00;477.64;;1;;
2023-05-11;481.36;477.37;479.28;;1;;
2023-05-10;482.25;479.14;480.05;;1;;
2023-05-09;481.33;477.82;479.76;;1;;
2023-05-08;485.06;480.54;482.03;;1;;
2023-05-04;481.68;479.31;480.86;;1;;
2023-05-03;483.58;480.33;480.83;;1;;
2023-05-02;484.59;479.82;484.05;;1;;
2023-05-01;482.18;479.53;481.65;;1;;
2023-04-28;483.31;479.16;480.39;;1;;
2023-04-27;483.93;478.83;482.77;;1;;
2023-04-26;482.35;478.68;480.03;;1;;
2023-04-25;485.18;480.17;481.25;;1;;
2023-04-24;488.83;482.51;484.23;;1;;
2023-04-21;486.87;484.82;486.52;;1;;
2023-04-20;487.54;484.84;485.67;;1;;
2023-04-19;487.74;483.92;487.70;;1;;
2023-04-18;488.16;485.50;485.84;;1;;
2023-04-17;489.20;484.36;486.10;;1;;
2023-04-14;489.92;484.77;489.67;;1;;
2023-04-13;487.68;484.59;486.75;;1;;
2023-04-12;486.21;483.21;485.84;;1;;
2023-04-11;487.81;483.38;485.34;;1;;
2023-04-05;486.17;483.00;485.94;;1;;
2023-04-04;488.98;485.32;485.65;;1;;
2023-04-03;490.33;484.27;487.10;;1;;
2023-03-31;489.25;484.76;488.53;;1;;
2023-03-30;486.94;481.85;485.66;;1;;
2023-03-29;483.21;479.79;482.88;;1;;
2023-03-28;496.20;475.83;477.01;;1;;
2023-03-27;493.55;489.51;490.56;;1;;
2023-03-24;496.33;489.72;491.95;;1;;
2023-03-23;496.37;493.35;495.91;;1;;
2023-03-22;498.80;494.56;494.56;;1;;
2023-03-21;499.10;494.32;497.88;;1;;
2023-03-20;498.24;491.29;496.72;;1;;
2023-03-17;501.69;496.97;497.59;;1;;
2023-03-16;500.24;495.55;499.43;;1;;
2023-03-15;507.66;501.23;502.81;;1;;
2023-03-14;507.34;501.34;505.78;;1;;
2023-03-13;508.99;501.19;502.90;;1;;
2023-03-10;511.31;506.80;508.04;;1;;
2023-03-09;512.73;510.39;511.53;;1;;
2023-03-08;514.87;511.66;513.25;;1;;
2023-03-07;518.13;515.02;515.53;;1;;
2023-03-06;517.56;513.01;517.21;;1;;
2023-03-03;514.36;510.59;513.80;;1;;
2023-03-02;514.09;510.41;511.49;;1;;
2023-03-01;513.70;510.93;513.41;;1;;
2023-02-28;514.74;507.79;512.61;;1;;
2023-02-27;509.66;506.55;509.66;;1;;
2023-02-24;507.23;501.69;506.23;;1;;
2023-02-23;504.76;500.77;504.76;;1;;
2023-02-22;506.21;501.86;503.72;;1;;
2023-02-21;507.28;504.29;505.80;;1;;
2023-02-20;506.85;504.75;506.69;;1;;
2023-02-17;507.11;502.71;506.43;;1;;
2023-02-16;505.32;502.52;504.60;;1;;
2023-02-15;504.99;502.29;503.71;;1;;
2023-02-14;504.22;500.97;502.90;;1;;
2023-02-13;503.97;499.25;501.84;;1;;
2023-02-10;502.11;498.97;500.15;;1;;
2023-02-09;503.10;499.09;502.29;;1;;
2023-02-08;502.29;499.16;500.10;;1;;
2023-02-07;503.90;500.86;502.18;;1;;
2023-02-06;503.54;499.83;503.54;;1;;
2023-02-03;500.76;498.57;500.17;;1;;
2023-02-02;501.60;498.25;500.03;;1;;
2023-02-01;499.59;496.66;499.05;;1;;
2023-01-31;499.55;495.21;496.59;;1;;
2023-01-30;500.67;498.09;500.00;;1;;
2023-01-27;501.54;496.94;498.37;;1;;
2023-01-26;500.93;497.35;500.45;;1;;
2023-01-25;501.43;496.91;497.53;;1;;
2023-01-24;501.56;498.01;501.15;;1;;
2023-01-23;500.61;498.51;500.61;;1;;
2023-01-20;499.18;494.04;499.18;;1;;
2023-01-19;496.76;493.41;493.42;;1;;
2023-01-18;498.43;495.37;497.77;;1;;
2023-01-17;498.57;494.16;495.92;;1;;
2023-01-16;497.85;494.08;497.85;;1;;
2023-01-13;495.31;489.58;493.27;;1;;
2023-01-12;493.55;489.10;489.10;;1;;
2023-01-11;493.07;488.63;491.98;;1;;
2023-01-10;492.82;487.67;489.49;;1;;
2023-01-09;491.08;487.85;489.80;;1;;
2023-01-06;489.16;484.56;489.16;;1;;
2023-01-05;485.96;482.31;483.85;;1;;
2023-01-04;489.65;483.39;484.59;;1;;
2023-01-03;488.85;483.91;488.37;;1;;
2023-01-02;485.08;479.58;483.57;;1;;
2022-12-30;479.54;475.75;479.33;;1;;
2022-12-29;477.41;473.05;476.47;;1;;
2022-12-28;477.03;473.72;474.25;;1;;
2022-12-27;477.94;475.13;476.57;;1;;
2022-12-23;476.57;473.23;474.80;;1;;
2022-12-22;478.11;474.83;474.83;;1;;
2022-12-21;476.27;473.23;474.93;;1;;
2022-12-20;474.29;471.79;472.66;;1;;
2022-12-19;474.58;471.59;473.18;;1;;
2022-12-16;478.04;473.89;474.35;;1;;
2022-12-15;480.06;476.93;477.43;;1;;
2022-12-14;480.53;477.90;479.31;;1;;
2022-12-13;480.26;477.58;477.58;;1;;
2022-12-12;482.32;478.71;479.88;;1;;
2022-12-09;482.71;479.57;481.06;;1;;
2022-12-08;481.76;477.29;481.58;;1;;
2022-12-07;481.30;479.18;479.34;;1;;
2022-12-06;483.76;480.17;480.17;;1;;
2022-12-05;482.37;477.87;480.34;;1;;
2022-12-02;479.82;476.16;479.13;;1;;
2022-12-01;483.00;477.11;477.88;;1;;
2022-11-30;483.40;479.06;480.80;;1;;
2022-11-29;480.96;473.75;477.43;;1;;
2022-11-28;482.59;478.91;478.91;;1;;
2022-11-25;481.04;477.44;480.93;;1;;
2022-11-24;482.79;478.41;479.18;;1;;
2022-11-23;480.89;475.92;480.75;;1;;
