Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;6,193.66;6,072.35;6,077.90;;1;;
2023-09-01;6,198.93;6,076.52;6,192.21;;1;;
2023-08-31;6,089.91;5,910.01;5,941.88;;1;;
2023-08-30;6,213.06;5,937.64;5,982.38;;1;;
2023-08-29;6,383.10;6,232.11;6,299.12;;1;;
2023-08-28;6,216.13;6,123.51;6,191.17;;1;;
2023-08-25;6,224.67;6,085.25;6,130.67;;1;;
2023-08-24;6,170.99;6,066.73;6,170.99;;1;;
2023-08-23;6,116.94;5,907.99;6,034.34;;1;;
2023-08-22;5,948.07;5,797.98;5,921.29;;1;;
2023-08-21;5,822.55;5,752.57;5,768.61;;1;;
2023-08-18;5,926.32;5,805.54;5,845.00;;1;;
2023-08-17;6,079.34;5,924.22;5,924.22;;1;;
2023-08-16;6,162.44;6,051.61;6,142.58;;1;;
2023-08-15;6,212.52;6,086.72;6,086.72;;1;;
2023-08-14;6,255.33;6,116.09;6,214.53;;1;;
2023-08-11;6,387.35;6,199.58;6,246.09;;1;;
2023-08-10;6,473.28;6,078.65;6,285.19;;1;;
2023-08-09;6,910.29;6,510.88;6,544.60;;1;;
2023-08-08;6,666.65;6,545.94;6,666.65;;1;;
2023-08-07;6,746.31;6,509.53;6,615.59;;1;;
2023-08-04;6,716.54;6,622.30;6,699.36;;1;;
2023-08-03;6,669.15;6,579.70;6,669.15;;1;;
2023-08-02;6,675.36;6,586.13;6,656.24;;1;;
2023-08-01;6,856.61;6,712.66;6,724.27;;1;;
2023-07-31;6,813.53;6,653.70;6,764.72;;1;;
2023-07-28;6,828.51;6,638.27;6,680.30;;1;;
2023-07-27;7,153.32;6,873.17;6,875.93;;1;;
2023-07-26;7,170.28;7,068.78;7,109.68;;1;;
2023-07-25;7,171.38;6,951.21;7,121.90;;1;;
2023-07-24;7,061.00;6,903.40;7,032.52;;1;;
2023-07-21;6,965.94;6,885.27;6,958.63;;1;;
2023-07-20;7,034.43;6,909.19;6,926.29;;1;;
2023-07-19;7,032.61;6,906.03;6,977.07;;1;;
2023-07-18;6,907.29;6,755.03;6,904.53;;1;;
2023-07-17;6,813.25;6,648.06;6,777.00;;1;;
2023-07-14;6,921.68;6,744.46;6,744.46;;1;;
2023-07-13;6,985.23;6,900.00;6,938.63;;1;;
2023-07-12;6,868.91;6,673.33;6,860.88;;1;;
2023-07-11;6,722.91;6,596.81;6,679.70;;1;;
2023-07-10;6,579.87;6,506.80;6,547.34;;1;;
2023-07-07;6,604.39;6,473.68;6,584.03;;1;;
2023-07-06;6,663.59;6,533.91;6,533.91;;1;;
2023-07-05;6,754.86;6,620.52;6,620.52;;1;;
2023-07-04;6,851.82;6,688.15;6,799.56;;1;;
2023-07-03;6,730.71;6,534.85;6,730.71;;1;;
2023-06-30;6,758.93;6,655.64;6,708.80;;1;;
2023-06-29;6,722.25;6,594.03;6,625.99;;1;;
2023-06-28;6,674.98;6,515.95;6,632.19;;1;;
2023-06-27;6,668.13;6,510.64;6,530.73;;1;;
2023-06-26;6,716.06;6,588.30;6,627.96;;1;;
2023-06-23;6,883.12;6,602.67;6,637.54;;1;;
2023-06-22;7,112.79;6,875.06;7,106.83;;1;;
2023-06-21;7,024.47;6,896.11;6,941.05;;1;;
2023-06-20;7,048.92;6,928.30;7,048.87;;1;;
2023-06-19;7,066.61;6,973.54;6,973.54;;1;;
2023-06-16;7,147.32;7,021.64;7,147.32;;1;;
2023-06-15;7,236.09;6,959.05;7,022.88;;1;;
2023-06-14;7,277.61;7,113.24;7,218.97;;1;;
2023-06-13;7,369.51;7,092.71;7,194.55;;1;;
2023-06-12;7,437.24;7,254.80;7,298.65;;1;;
2023-06-09;7,561.84;7,338.21;7,360.17;;1;;
2023-06-08;7,704.44;7,348.38;7,477.64;;1;;
2023-06-07;7,687.91;7,586.21;7,661.62;;1;;
2023-06-06;7,671.19;7,504.67;7,671.19;;1;;
2023-06-02;7,557.55;7,450.41;7,557.55;;1;;
2023-06-01;7,505.95;7,372.81;7,469.87;;1;;
2023-05-31;7,461.54;7,300.28;7,331.95;;1;;
2023-05-30;7,553.43;7,418.13;7,418.13;;1;;
2023-05-26;7,555.35;7,365.46;7,404.28;;1;;
2023-05-25;7,579.97;7,332.11;7,508.35;;1;;
2023-05-24;7,445.46;7,319.45;7,382.78;;1;;
2023-05-23;7,589.88;7,481.55;7,490.42;;1;;
2023-05-22;7,845.97;7,646.26;7,697.84;;1;;
2023-05-17;7,699.25;7,537.10;7,659.45;;1;;
2023-05-16;7,848.93;7,540.91;7,744.76;;1;;
2023-05-15;7,808.73;7,537.90;7,623.23;;1;;
2023-05-12;7,608.60;7,121.38;7,553.07;;1;;
2023-05-11;7,474.50;7,118.87;7,136.14;;1;;
2023-05-10;7,506.64;7,146.17;7,443.28;;1;;
2023-05-09;7,217.70;7,062.17;7,182.58;;1;;
2023-05-08;7,164.85;7,046.17;7,148.32;;1;;
2023-05-04;7,020.03;6,794.04;6,999.93;;1;;
2023-05-03;7,006.59;6,844.76;6,872.85;;1;;
2023-05-02;6,990.09;6,829.98;6,909.38;;1;;
2023-05-01;7,001.41;6,895.24;6,927.70;;1;;
2023-04-28;6,928.94;6,815.24;6,906.97;;1;;
2023-04-27;6,913.13;6,621.54;6,881.42;;1;;
2023-04-26;6,797.32;6,642.43;6,659.46;;1;;
2023-04-25;7,007.06;6,842.15;6,853.23;;1;;
2023-04-24;7,071.28;6,923.50;6,991.97;;1;;
2023-04-21;7,047.79;6,896.36;6,957.85;;1;;
2023-04-20;7,093.63;6,796.40;6,935.75;;1;;
2023-04-19;7,148.83;6,930.46;7,148.83;;1;;
2023-04-18;7,358.48;7,167.79;7,209.35;;1;;
2023-04-17;7,307.16;7,118.41;7,152.19;;1;;
2023-04-14;7,298.61;7,204.09;7,219.45;;1;;
2023-04-13;7,353.22;7,093.52;7,196.64;;1;;
2023-04-12;7,314.12;7,107.45;7,266.03;;1;;
2023-04-11;7,312.20;7,126.87;7,181.43;;1;;
