Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;2,148.22;2,132.90;2,135.40;;1;;
2023-09-01;2,145.55;2,131.76;2,132.03;;1;;
2023-08-31;2,150.49;2,133.60;2,139.42;;1;;
2023-08-30;2,162.74;2,145.52;2,145.65;;1;;
2023-08-29;2,157.91;2,141.46;2,151.33;;1;;
2023-08-28;2,149.55;2,126.10;2,146.37;;1;;
2023-08-25;2,138.44;2,120.57;2,120.57;;1;;
2023-08-24;2,130.70;2,115.34;2,119.65;;1;;
2023-08-23;2,144.40;2,119.55;2,119.55;;1;;
2023-08-22;2,159.73;2,134.79;2,134.79;;1;;
2023-08-21;2,163.09;2,146.51;2,150.38;;1;;
2023-08-18;2,149.31;2,136.12;2,147.04;;1;;
2023-08-17;2,169.26;2,141.37;2,153.95;;1;;
2023-08-16;2,154.70;2,131.39;2,145.60;;1;;
2023-08-15;2,168.05;2,139.30;2,143.66;;1;;
2023-08-14;2,173.74;2,150.60;2,173.68;;1;;
2023-08-11;2,195.74;2,171.79;2,172.73;;1;;
2023-08-10;2,199.05;2,172.17;2,196.23;;1;;
2023-08-09;2,174.05;2,163.65;2,170.84;;1;;
2023-08-08;2,166.50;2,136.17;2,152.70;;1;;
2023-08-07;2,190.84;2,166.34;2,182.76;;1;;
2023-08-04;2,182.00;2,160.68;2,176.00;;1;;
2023-08-03;2,157.76;2,140.02;2,155.53;;1;;
2023-08-02;2,159.17;2,136.62;2,144.14;;1;;
2023-08-01;2,167.71;2,153.36;2,163.72;;1;;
2023-07-31;2,170.94;2,147.70;2,166.61;;1;;
2023-07-28;2,177.67;2,155.68;2,158.37;;1;;
2023-07-27;2,173.92;2,159.16;2,173.03;;1;;
2023-07-26;2,182.47;2,156.42;2,157.91;;1;;
2023-07-25;2,186.34;2,174.21;2,185.33;;1;;
2023-07-24;2,178.05;2,155.67;2,178.05;;1;;
2023-07-21;2,190.07;2,150.35;2,185.98;;1;;
2023-07-20;2,173.00;2,158.98;2,160.34;;1;;
2023-07-19;2,191.70;2,162.59;2,162.59;;1;;
2023-07-18;2,178.18;2,158.06;2,174.39;;1;;
2023-07-17;2,181.99;2,157.67;2,170.34;;1;;
2023-07-14;2,191.04;2,163.75;2,163.75;;1;;
2023-07-13;2,199.72;2,167.11;2,194.94;;1;;
2023-07-12;2,183.67;2,167.70;2,178.90;;1;;
2023-07-11;2,209.37;2,177.35;2,185.28;;1;;
2023-07-10;2,221.39;2,203.70;2,208.30;;1;;
2023-07-07;2,222.77;2,206.44;2,218.68;;1;;
2023-07-06;2,234.31;2,207.00;2,207.84;;1;;
2023-07-05;2,258.57;2,236.24;2,236.79;;1;;
2023-07-04;2,275.93;2,254.34;2,259.47;;1;;
2023-07-03;2,267.45;2,250.37;2,263.14;;1;;
2023-06-30;2,249.43;2,230.78;2,243.48;;1;;
2023-06-29;2,235.79;2,212.77;2,229.35;;1;;
2023-06-28;2,220.31;2,199.84;2,208.10;;1;;
2023-06-27;2,234.35;2,180.95;2,205.30;;1;;
2023-06-26;2,222.66;2,166.61;2,215.71;;1;;
2023-06-23;2,224.30;2,198.10;2,203.51;;1;;
2023-06-22;2,265.19;2,235.85;2,237.84;;1;;
2023-06-21;2,287.46;2,263.58;2,284.72;;1;;
2023-06-20;2,277.37;2,262.19;2,275.72;;1;;
2023-06-19;2,280.07;2,264.08;2,268.96;;1;;
2023-06-16;2,287.36;2,261.17;2,281.74;;1;;
2023-06-15;2,274.19;2,252.46;2,260.70;;1;;
2023-06-14;2,267.40;2,254.44;2,262.98;;1;;
2023-06-13;2,267.67;2,248.48;2,261.21;;1;;
2023-06-12;2,280.60;2,243.66;2,249.87;;1;;
2023-06-09;2,273.61;2,246.04;2,258.78;;1;;
2023-06-08;2,288.00;2,262.25;2,265.73;;1;;
2023-06-07;2,260.20;2,228.46;2,258.13;;1;;
2023-06-06;2,202.92;2,178.54;2,200.25;;1;;
2023-06-02;2,192.14;2,167.85;2,192.14;;1;;
2023-06-01;2,166.81;2,142.24;2,151.44;;1;;
2023-05-31;2,156.89;2,135.16;2,140.78;;1;;
2023-05-30;2,179.61;2,156.07;2,165.93;;1;;
2023-05-26;2,165.71;2,141.77;2,161.24;;1;;
2023-05-25;2,164.49;2,140.36;2,154.71;;1;;
2023-05-24;2,168.79;2,151.97;2,155.43;;1;;
2023-05-23;2,188.14;2,170.09;2,175.49;;1;;
2023-05-22;2,170.61;2,152.92;2,161.86;;1;;
2023-05-17;2,147.75;2,132.25;2,143.94;;1;;
2023-05-16;2,157.67;2,140.28;2,140.28;;1;;
2023-05-15;2,151.15;2,130.34;2,150.15;;1;;
2023-05-12;2,145.28;2,121.29;2,134.07;;1;;
2023-05-11;2,129.16;2,101.53;2,117.66;;1;;
2023-05-10;2,150.23;2,107.53;2,111.73;;1;;
2023-05-09;2,138.20;2,118.45;2,130.85;;1;;
2023-05-08;2,158.05;2,124.19;2,144.81;;1;;
2023-05-04;2,134.09;2,096.11;2,100.40;;1;;
2023-05-03;2,173.50;2,130.26;2,140.26;;1;;
2023-05-02;2,209.30;2,167.46;2,168.77;;1;;
2023-05-01;2,206.91;2,192.47;2,206.91;;1;;
2023-04-28;2,223.88;2,177.03;2,185.02;;1;;
2023-04-27;2,220.54;2,199.53;2,202.64;;1;;
