Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;7,553.48;7,420.65;7,463.12;;1;;
2023-09-01;7,411.49;7,284.20;7,403.52;;1;;
2023-08-31;7,370.70;7,278.98;7,278.98;;1;;
2023-08-30;7,420.61;7,346.57;7,355.03;;1;;
2023-08-29;7,456.14;7,337.89;7,398.96;;1;;
2023-08-28;7,411.14;7,328.49;7,387.65;;1;;
2023-08-25;7,328.97;7,284.78;7,301.68;;1;;
2023-08-24;7,447.87;7,346.94;7,371.71;;1;;
2023-08-23;7,411.49;7,256.84;7,411.49;;1;;
2023-08-22;7,330.19;7,227.73;7,255.84;;1;;
2023-08-21;7,316.10;7,207.75;7,207.75;;1;;
2023-08-18;7,224.30;7,134.35;7,151.05;;1;;
2023-08-17;7,298.70;7,223.00;7,273.07;;1;;
2023-08-16;7,296.50;7,165.78;7,267.58;;1;;
2023-08-15;7,279.64;7,140.59;7,173.80;;1;;
2023-08-14;7,204.74;7,136.45;7,157.59;;1;;
2023-08-11;7,243.86;7,105.62;7,172.98;;1;;
2023-08-10;7,278.87;7,114.77;7,229.23;;1;;
2023-08-09;7,390.21;7,197.94;7,278.43;;1;;
2023-08-08;7,406.80;6,461.47;7,345.14;;1;;
2023-08-07;6,500.01;6,406.55;6,500.01;;1;;
2023-08-04;6,437.86;6,363.09;6,368.45;;1;;
2023-08-03;6,492.98;6,420.28;6,437.32;;1;;
2023-08-02;6,540.61;6,449.33;6,511.36;;1;;
2023-08-01;6,600.39;6,541.09;6,597.72;;1;;
2023-07-31;6,591.00;6,451.35;6,588.47;;1;;
2023-07-28;6,479.63;6,398.96;6,412.40;;1;;
2023-07-27;6,509.26;6,456.43;6,457.01;;1;;
2023-07-26;6,591.34;6,391.55;6,416.08;;1;;
2023-07-25;6,587.94;6,470.00;6,558.30;;1;;
2023-07-24;6,676.12;6,565.16;6,582.40;;1;;
2023-07-21;6,658.25;6,545.36;6,649.72;;1;;
2023-07-20;6,621.09;6,442.65;6,618.29;;1;;
2023-07-19;6,486.81;6,417.00;6,435.81;;1;;
2023-07-18;6,434.45;6,376.68;6,423.75;;1;;
2023-07-17;6,462.81;6,397.69;6,441.69;;1;;
2023-07-14;6,424.89;6,306.44;6,397.60;;1;;
2023-07-13;6,394.88;6,271.94;6,314.10;;1;;
2023-07-12;6,274.55;6,124.61;6,257.26;;1;;
2023-07-11;6,405.03;6,222.60;6,251.87;;1;;
2023-07-10;6,425.90;6,321.03;6,374.72;;1;;
2023-07-07;6,490.24;6,414.85;6,433.85;;1;;
2023-07-06;6,572.80;6,464.52;6,480.93;;1;;
2023-07-05;6,568.12;6,466.34;6,568.12;;1;;
2023-07-04;6,517.30;6,448.55;6,499.96;;1;;
2023-07-03;6,641.15;6,500.17;6,500.17;;1;;
2023-06-30;6,607.81;6,433.71;6,588.09;;1;;
2023-06-29;6,419.74;6,374.05;6,417.97;;1;;
2023-06-28;6,451.21;6,330.29;6,404.53;;1;;
2023-06-27;6,460.07;6,313.55;6,338.22;;1;;
2023-06-26;6,598.34;6,468.20;6,476.71;;1;;
2023-06-23;6,572.48;6,417.55;6,557.66;;1;;
2023-06-22;6,556.92;6,394.03;6,529.28;;1;;
2023-06-21;6,653.85;6,562.37;6,562.37;;1;;
2023-06-20;6,598.71;6,505.70;6,573.46;;1;;
2023-06-19;6,635.32;6,551.63;6,555.79;;1;;
2023-06-16;6,719.17;6,666.89;6,682.80;;1;;
2023-06-15;6,660.52;6,617.74;6,660.52;;1;;
2023-06-14;6,655.89;6,602.05;6,617.32;;1;;
2023-06-13;6,679.14;6,612.83;6,612.83;;1;;
2023-06-12;6,703.29;6,629.51;6,629.87;;1;;
2023-06-09;6,658.91;6,552.67;6,608.90;;1;;
2023-06-08;6,671.00;6,584.22;6,648.80;;1;;
2023-06-07;6,749.18;6,609.72;6,611.40;;1;;
2023-06-06;6,810.53;6,683.30;6,791.22;;1;;
2023-06-02;6,621.03;6,502.85;6,582.47;;1;;
2023-06-01;6,765.97;6,621.61;6,649.38;;1;;
2023-05-31;6,776.11;6,681.25;6,721.16;;1;;
2023-05-30;6,848.80;6,733.21;6,733.66;;1;;
2023-05-26;6,880.35;6,795.58;6,858.52;;1;;
2023-05-25;6,873.44;6,773.16;6,778.78;;1;;
2023-05-24;6,866.19;6,760.06;6,787.24;;1;;
2023-05-23;7,074.61;6,909.39;6,909.39;;1;;
2023-05-22;7,109.91;7,034.20;7,108.36;;1;;
2023-05-17;7,032.68;6,947.95;6,948.36;;1;;
2023-05-16;6,997.62;6,915.22;6,935.76;;1;;
2023-05-15;7,091.02;7,012.53;7,022.32;;1;;
2023-05-12;7,080.87;6,959.36;7,071.15;;1;;
2023-05-11;7,035.84;6,913.46;6,986.28;;1;;
2023-05-10;6,906.27;6,825.79;6,906.27;;1;;
2023-05-09;6,905.59;6,777.64;6,884.74;;1;;
2023-05-08;6,977.06;6,773.67;6,932.05;;1;;
2023-05-04;6,808.53;6,483.44;6,687.38;;1;;
2023-05-03;6,926.49;6,802.39;6,820.76;;1;;
2023-05-02;6,909.18;6,830.15;6,848.34;;1;;
2023-05-01;6,892.12;6,821.84;6,877.39;;1;;
2023-04-28;6,888.84;6,823.98;6,838.34;;1;;
2023-04-27;6,886.28;6,772.72;6,791.15;;1;;
2023-04-26;6,941.24;6,707.21;6,759.99;;1;;
2023-04-25;7,001.88;6,931.64;6,980.59;;1;;
2023-04-24;7,035.22;6,959.32;6,975.10;;1;;
2023-04-21;7,012.65;6,817.39;7,012.65;;1;;
2023-04-20;6,842.12;6,753.02;6,789.03;;1;;
2023-04-19;6,958.15;6,741.32;6,798.79;;1;;
2023-04-18;7,049.83;6,959.92;6,969.09;;1;;
2023-04-17;7,030.31;6,898.37;6,999.52;;1;;
2023-04-14;6,907.60;6,755.01;6,886.98;;1;;
2023-04-13;6,866.92;6,688.04;6,740.19;;1;;
2023-04-12;6,663.18;6,563.46;6,655.61;;1;;
2023-04-11;6,630.66;6,486.67;6,564.51;;1;;
2023-04-05;6,583.49;6,486.88;6,521.74;;1;;
2023-04-04;6,583.90;6,526.56;6,544.25;;1;;
2023-04-03;6,584.34;6,509.78;6,543.51;;1;;
2023-03-31;6,592.21;6,516.76;6,557.89;;1;;
2023-03-30;6,551.88;6,485.69;6,531.78;;1;;
2023-03-29;6,519.89;6,436.84;6,512.94;;1;;
2023-03-28;6,496.03;6,413.77;6,414.28;;1;;
2023-03-27;6,458.33;6,375.25;6,439.58;;1;;
2023-03-24;6,341.73;6,231.55;6,341.73;;1;;
2023-03-23;6,284.96;6,125.36;6,273.64;;1;;
2023-03-22;6,214.88;6,140.15;6,192.35;;1;;
2023-03-21;6,143.19;6,081.22;6,134.81;;1;;
2023-03-20;6,077.01;5,967.30;6,050.86;;1;;
2023-03-17;6,093.54;5,986.85;5,999.72;;1;;
2023-03-16;6,061.55;5,874.06;5,979.55;;1;;
2023-03-15;6,087.24;6,013.28;6,048.56;;1;;
2023-03-14;6,068.00;5,954.84;6,045.41;;1;;
2023-03-13;6,061.95;5,955.82;5,999.56;;1;;
2023-03-10;6,141.62;6,050.28;6,063.03;;1;;
2023-03-09;6,154.15;6,068.30;6,149.49;;1;;
2023-03-08;6,134.52;6,031.47;6,060.20;;1;;
2023-03-07;6,213.82;6,136.58;6,168.62;;1;;
2023-03-06;6,215.10;6,127.61;6,135.13;;1;;
2023-03-03;6,150.95;6,095.91;6,145.43;;1;;
2023-03-02;6,111.14;6,054.42;6,111.14;;1;;
2023-03-01;6,124.56;6,062.91;6,091.52;;1;;
2023-02-28;6,158.37;6,082.25;6,096.76;;1;;
2023-02-27;6,188.33;6,122.31;6,180.60;;1;;
2023-02-24;6,129.94;6,080.69;6,103.97;;1;;
2023-02-23;6,170.32;6,094.23;6,139.42;;1;;
2023-02-22;6,139.26;6,104.01;6,126.19;;1;;
2023-02-21;6,153.81;6,071.62;6,153.81;;1;;
2023-02-20;6,109.44;6,071.99;6,089.52;;1;;
2023-02-17;6,133.00;6,002.66;6,100.62;;1;;
2023-02-16;6,105.12;6,005.77;6,034.43;;1;;
2023-02-15;6,120.14;6,032.92;6,116.68;;1;;
2023-02-14;6,146.04;6,083.08;6,119.55;;1;;
2023-02-13;6,110.50;6,010.92;6,110.50;;1;;
2023-02-10;6,016.70;5,924.39;5,988.59;;1;;
2023-02-09;6,075.70;5,997.76;6,026.76;;1;;
2023-02-08;6,141.05;6,027.87;6,065.87;;1;;
2023-02-07;6,059.37;5,993.09;6,037.00;;1;;
2023-02-06;5,994.84;5,876.27;5,986.71;;1;;
2023-02-03;5,926.10;5,712.70;5,926.10;;1;;
2023-02-02;5,871.11;5,732.48;5,744.22;;1;;
2023-02-01;6,001.97;5,810.94;5,881.75;;1;;
2023-01-31;5,912.45;5,806.37;5,867.50;;1;;
2023-01-30;5,966.08;5,873.39;5,955.34;;1;;
2023-01-27;5,892.06;5,819.36;5,892.06;;1;;
2023-01-26;5,925.55;5,848.24;5,857.50;;1;;
2023-01-25;5,976.93;5,813.52;5,880.30;;1;;
2023-01-24;6,042.29;5,946.11;5,957.48;;1;;
