Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;2,327.17;2,301.31;2,303.50;;1;;
2023-09-01;2,321.25;2,290.09;2,299.22;;1;;
2023-08-31;2,343.32;2,257.96;2,280.57;;1;;
2023-08-30;2,343.00;2,322.49;2,329.80;;1;;
2023-08-29;2,350.23;2,316.29;2,341.91;;1;;
2023-08-28;2,315.99;2,300.54;2,312.00;;1;;
2023-08-25;2,310.64;2,290.62;2,291.25;;1;;
2023-08-24;2,346.06;2,298.89;2,299.83;;1;;
2023-08-23;2,352.40;2,317.23;2,320.42;;1;;
2023-08-22;2,356.10;2,342.68;2,344.46;;1;;
2023-08-21;2,351.28;2,328.11;2,335.76;;1;;
2023-08-18;2,327.11;2,311.58;2,322.93;;1;;
2023-08-17;2,343.79;2,323.85;2,328.05;;1;;
2023-08-16;2,356.62;2,316.95;2,341.88;;1;;
2023-08-15;2,362.69;2,329.67;2,333.22;;1;;
2023-08-14;2,356.18;2,328.97;2,351.21;;1;;
2023-08-11;2,362.69;2,336.42;2,344.77;;1;;
2023-08-10;2,387.80;2,363.87;2,367.87;;1;;
2023-08-09;2,387.19;2,372.49;2,375.79;;1;;
2023-08-08;2,371.30;2,343.67;2,359.05;;1;;
2023-08-07;2,365.17;2,327.25;2,365.17;;1;;
2023-08-04;2,408.31;2,339.28;2,349.26;;1;;
2023-08-03;2,399.20;2,379.78;2,384.12;;1;;
2023-08-02;2,414.38;2,382.91;2,387.98;;1;;
2023-08-01;2,419.55;2,400.75;2,419.01;;1;;
2023-07-31;2,434.70;2,408.12;2,428.65;;1;;
2023-07-28;2,415.64;2,387.13;2,410.99;;1;;
2023-07-27;2,472.63;2,434.70;2,464.62;;1;;
2023-07-26;2,464.32;2,410.32;2,424.84;;1;;
2023-07-25;2,471.65;2,437.29;2,457.45;;1;;
2023-07-24;2,509.28;2,486.57;2,487.95;;1;;
2023-07-21;2,526.28;2,492.59;2,498.68;;1;;
2023-07-20;2,547.70;2,514.15;2,536.64;;1;;
2023-07-19;2,536.14;2,510.69;2,525.39;;1;;
2023-07-18;2,524.80;2,492.19;2,523.82;;1;;
2023-07-17;2,501.62;2,469.56;2,492.57;;1;;
2023-07-14;2,513.06;2,464.25;2,500.99;;1;;
2023-07-13;2,488.31;2,453.38;2,484.37;;1;;
2023-07-12;2,458.68;2,419.13;2,456.23;;1;;
2023-07-11;2,435.80;2,414.60;2,435.68;;1;;
2023-07-10;2,406.62;2,370.02;2,397.81;;1;;
2023-07-07;2,394.43;2,355.27;2,389.92;;1;;
2023-07-06;2,414.20;2,376.80;2,377.11;;1;;
2023-07-05;2,446.44;2,412.33;2,414.48;;1;;
2023-07-04;2,453.15;2,438.21;2,447.65;;1;;
2023-07-03;2,424.23;2,393.41;2,419.08;;1;;
2023-06-30;2,411.92;2,374.10;2,395.77;;1;;
2023-06-29;2,371.64;2,356.94;2,364.04;;1;;
2023-06-28;2,373.97;2,336.85;2,367.06;;1;;
2023-06-27;2,342.71;2,314.36;2,332.73;;1;;
2023-06-26;2,328.53;2,305.61;2,322.95;;1;;
2023-06-23;2,325.70;2,289.88;2,321.59;;1;;
2023-06-22;2,321.15;2,283.60;2,317.11;;1;;
2023-06-21;2,317.59;2,296.97;2,310.00;;1;;
2023-06-20;2,337.43;2,316.00;2,319.10;;1;;
2023-06-19;2,343.55;2,327.92;2,331.02;;1;;
2023-06-16;2,377.15;2,337.22;2,351.67;;1;;
2023-06-15;2,394.97;2,361.72;2,381.53;;1;;
2023-06-14;2,397.99;2,381.49;2,383.99;;1;;
2023-06-13;2,381.40;2,340.22;2,377.25;;1;;
2023-06-12;2,355.53;2,325.07;2,328.22;;1;;
2023-06-09;2,382.74;2,348.95;2,353.69;;1;;
2023-06-08;2,387.82;2,336.51;2,380.75;;1;;
2023-06-07;2,347.21;2,310.92;2,341.75;;1;;
2023-06-06;2,380.79;2,303.02;2,342.85;;1;;
2023-06-02;2,365.97;2,337.01;2,359.53;;1;;
2023-06-01;2,343.37;2,306.38;2,325.95;;1;;
2023-05-31;2,316.79;2,281.29;2,302.05;;1;;
2023-05-30;2,349.57;2,309.12;2,315.43;;1;;
2023-05-26;2,305.20;2,257.96;2,299.84;;1;;
2023-05-25;2,264.18;2,244.40;2,253.10;;1;;
2023-05-24;2,281.58;2,242.13;2,249.16;;1;;
2023-05-23;2,318.47;2,291.55;2,296.89;;1;;
2023-05-22;2,332.67;2,311.24;2,320.70;;1;;
2023-05-17;2,308.87;2,291.07;2,295.12;;1;;
2023-05-16;2,331.20;2,305.25;2,310.19;;1;;
2023-05-15;2,331.52;2,317.38;2,320.46;;1;;
2023-05-12;2,328.49;2,299.77;2,323.04;;1;;
2023-05-11;2,321.77;2,289.43;2,308.20;;1;;
2023-05-10;2,299.88;2,272.09;2,282.77;;1;;
2023-05-09;2,294.32;2,268.01;2,293.70;;1;;
2023-05-08;2,302.30;2,282.05;2,299.05;;1;;
2023-05-04;2,286.79;2,240.49;2,264.63;;1;;
