Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2023-09-04;6,358.19;6,332.49;6,336.21;;1;;
2023-09-01;6,335.39;6,309.34;6,332.41;;1;;
2023-08-31;6,327.83;6,270.83;6,327.21;;1;;
2023-08-30;6,303.27;6,262.82;6,276.10;;1;;
2023-08-29;6,312.05;6,252.37;6,306.62;;1;;
2023-08-28;6,282.35;6,215.55;6,242.84;;1;;
2023-08-25;6,264.29;6,222.29;6,228.23;;1;;
2023-08-24;6,353.80;6,244.56;6,253.06;;1;;
2023-08-23;6,273.80;6,172.91;6,254.41;;1;;
2023-08-22;6,213.49;6,163.91;6,176.27;;1;;
2023-08-21;6,188.49;6,150.87;6,170.58;;1;;
2023-08-18;6,177.82;6,116.64;6,163.90;;1;;
2023-08-17;6,226.61;6,176.31;6,211.63;;1;;
2023-08-16;6,454.80;6,251.90;6,260.25;;1;;
2023-08-15;6,511.99;6,445.30;6,448.42;;1;;
2023-08-14;6,539.07;6,485.69;6,510.27;;1;;
2023-08-11;6,561.32;6,485.61;6,520.77;;1;;
2023-08-10;6,559.73;6,517.14;6,542.73;;1;;
2023-08-09;6,575.80;6,541.94;6,550.09;;1;;
2023-08-08;6,556.19;6,509.89;6,546.04;;1;;
2023-08-07;6,554.84;6,509.72;6,534.87;;1;;
2023-08-04;6,538.45;6,505.30;6,519.39;;1;;
2023-08-03;6,565.35;6,503.13;6,512.09;;1;;
2023-08-02;6,580.34;6,512.95;6,535.46;;1;;
2023-08-01;6,600.60;6,555.27;6,594.90;;1;;
2023-07-31;6,584.44;6,539.90;6,566.52;;1;;
2023-07-28;6,609.62;6,570.89;6,575.71;;1;;
2023-07-27;6,651.70;6,565.56;6,623.09;;1;;
2023-07-26;6,579.77;6,543.29;6,561.30;;1;;
2023-07-25;6,587.29;6,529.89;6,586.73;;1;;
2023-07-24;6,569.22;6,544.33;6,548.84;;1;;
2023-07-21;6,552.18;6,507.95;6,536.65;;1;;
2023-07-20;6,611.08;6,549.25;6,551.65;;1;;
2023-07-19;6,626.27;6,532.30;6,622.99;;1;;
2023-07-18;6,529.60;6,492.60;6,513.98;;1;;
2023-07-17;6,537.86;6,501.74;6,527.82;;1;;
2023-07-14;6,541.59;6,492.14;6,520.86;;1;;
2023-07-13;6,547.40;6,429.63;6,540.48;;1;;
2023-07-12;6,428.28;6,285.22;6,419.25;;1;;
2023-07-11;6,379.73;6,351.28;6,359.65;;1;;
2023-07-10;6,362.99;6,337.35;6,362.99;;1;;
2023-07-07;6,372.44;6,346.19;6,363.30;;1;;
2023-07-06;6,365.82;6,330.86;6,365.82;;1;;
2023-07-05;6,374.78;6,351.37;6,351.37;;1;;
2023-07-04;6,388.48;6,372.63;6,388.08;;1;;
2023-07-03;6,407.71;6,348.75;6,373.87;;1;;
