Dato	Åben	Højeste	Laveste	Slutkurs
04.09.2023	88.99	89.1	88.98	88.99
03.09.2023	88.85	88.95	88.66	88.82
01.09.2023	86.82	89.06	86.74	88.88
31.08.2023	85.24	86.96	85.08	86.84
30.08.2023	85.06	85.66	84.6	85.25
29.08.2023	83.84	85.08	83.31	84.93
28.08.2023	84.29	84.75	83.55	83.82
27.08.2023	84.25	84.45	84.13	84.38
25.08.2023	82.74	84.44	82.25	84.23
24.08.2023	82.61	83.28	81.63	82.78
23.08.2023	83.57	84.01	81.68	82.62
22.08.2023	84.03	84.37	83.5	83.56
21.08.2023	84.29	85.48	83.95	84.13
20.08.2023	83.78	84.43	83.75	84.3
18.08.2023	83.41	84.66	82.92	83.77
17.08.2023	82.76	84.48	82.62	83.44
16.08.2023	84.39	84.87	82.72	82.87
15.08.2023	86.1	86.74	84.32	84.37
14.08.2023	86.35	86.75	85.52	86.23
13.08.2023	86.73	86.73	86.31	86.35
11.08.2023	86.38	87.42	85.84	86.72
10.08.2023	87.43	88.13	86.21	86.32
09.08.2023	86.02	87.72	85.92	87.48
08.08.2023	85.75	86.37	83.34	86.15
07.08.2023	86.47	86.74	85.06	85.91
06.08.2023	86.04	86.78	86.02	86.47
04.08.2023	85.3	86.7	85.06	86.05
03.08.2023	83.46	85.46	82.36	85.24
02.08.2023	85.83	86.05	82.75	83.38
01.08.2023	85.26	85.86	84.34	85.67
31.07.2023	84.37	85.66	83.9	85.27
30.07.2023	84.34	84.49	84.23	84.34
28.07.2023	83.26	84.58	82.87	84.36
27.07.2023	82.72	84.12	82.63	83.39
26.07.2023	82.89	83.43	82.22	82.59
25.07.2023	82.59	83.52	81.96	82.83
24.07.2023	80.38	82.06	80.25	82
23.07.2023	80.07	80.63	80.05	80.41
21.07.2023	79.64	81.11	79.52	80.07
20.07.2023	79.23	80.16	78.61	79.25
19.07.2023	79.67	80.78	79.07	79.25
18.07.2023	78.41	79.89	78.12	79.71
17.07.2023	79.29	80.6	78.25	78.27
16.07.2023	79.65	79.65	79.02	79.3
14.07.2023	81.67	81.73	79.55	79.64
13.07.2023	80.2	81.81	79.89	81.52
12.07.2023	79.32	80.54	79.21	80.16
11.07.2023	77.78	79.59	77.64	79.32
10.07.2023	78.12	78.81	77.46	77.81
07.07.2023	76.53	78.58	76.06	78.12
06.07.2023	76.66	77.12	75.06	76.53
05.07.2023	75.98	77.03	75.3	76.51
04.07.2023	74.92	76.34	74.76	76.12
03.07.2023	75.17	76.62	74.57	74.93
02.07.2023	75.2	75.39	75.03	75.15
30.06.2023	74.37	75.86	74.28	75.21
29.06.2023	73.96	75.21	73.6	74.38
28.06.2023	72.81	74.49	71.88	73.84
27.06.2023	74.45	75.13	72.79	73.28
26.06.2023	74.82	75	73.63	74.46
25.06.2023	74.37	74.94	74.35	74.82
23.06.2023	74.21	74.55	72.32	74.38
22.06.2023	77.03	77.21	73.83	74.39
21.06.2023	75.51	77.28	75.51	76.93
20.06.2023	76.07	77.07	74.53	75.43
19.06.2023	76.1	76.93	75.34	76.09
18.06.2023	76.23	76.34	76.03	76.08
16.06.2023	75.66	76.75	75.15	76.23
15.06.2023	73.35	75.96	72.89	75.57
14.06.2023	74.03	75.46	73.01	73.62
13.06.2023	72.17	74.66	71.95	74.08
12.06.2023	74.43	74.6	72.07	72.23
11.06.2023	75.03	75.03	74.4	74.42
09.06.2023	75.5	76.6	74.73	75.02
08.06.2023	76.79	77.73	76.46	77.38
07.06.2023	76.25	77.66	75.51	76.78
06.06.2023	76.56	76.76	74.74	76.15
05.06.2023	77.86	78.23	76.31	76.58
04.06.2023	76.23	78.72	76.2	77.83
02.06.2023	74.29	76.56	74.17	76.22
01.06.2023	72.23	75.25	72.05	74.3
31.05.2023	73.85	73.99	71.51	72.14
30.05.2023	76.99	77.67	73.32	73.83
29.05.2023	77.47	77.84	76.17	77.09
28.05.2023	77.19	77.77	77.17	77.47
26.05.2023	76.04	77.33	75.66	77.2
25.05.2023	78.27	78.42	75.11	76.13
24.05.2023	77.65	78.51	76.97	78.25
23.05.2023	76.06	77.7	75.52	77.33
22.05.2023	75.55	76.36	74.44	75.79
21.05.2023	75.62	75.7	75.44	75.54
19.05.2023	76.04	77.52	75.13	75.63
18.05.2023	76.77	77.01	75.5	75.88
17.05.2023	74.65	77.34	74.11	76.77
16.05.2023	75.53	76.03	74.51	74.73
15.05.2023	74.11	75.79	73.48	75.54
14.05.2023	74.19	74.34	74.06	74.13
12.05.2023	75.32	75.84	74.04	74.18
11.05.2023	76.71	77.43	74.64	75.44
10.05.2023	77.36	77.63	75.73	76.58
09.05.2023	76.78	77.53	75.12	77.29
08.05.2023	75.41	77.44	74.95	76.6
07.05.2023	75.36	75.81	75.24	75.42
05.05.2023	72.66	75.73	72.41	75.37
04.05.2023	71.49	73.72	71.43	72.54
03.05.2023	75.3	75.59	71.71	71.93
02.05.2023	79.28	79.84	75.1	75.2
01.05.2023	79.77	79.91	78.13	79.39
30.04.2023	80.2	80.27	79.71	79.8
28.04.2023	78.26	80.55	77.52	80.22
27.04.2023	77.81	78.58	77.38	78.31
26.04.2023	80.83	81.38	77.51	77.8
25.04.2023	82.42	82.96	80.23	80.6
24.04.2023	81.37	82.83	80.3	82.34
23.04.2023	81.55	81.67	81.26	81.35
21.04.2023	80.54	81.86	80.2	81.55
20.04.2023	82.45	82.6	80.5	80.52
19.04.2023	84.87	85.18	82.42	82.48
18.04.2023	84.74	85.44	83.82	84.86
17.04.2023	86.38	86.58	84.39	84.86
16.04.2023	86.51	86.51	86.21	86.38
14.04.2023	86.15	86.95	85.57	86.5
