Dato	Åben	Højeste	Laveste	Slutkurs
04.09.2023	1938	1939	1937	1938
03.09.2023	1940	1943	1939	1940
02.09.2023	1940	1940	1940	1940
01.09.2023	1939	1952	1934	1940
31.08.2023	1944	1948	1938	1940
30.08.2023	1935	1949	1934	1944
29.08.2023	1920	1938	1914	1936
28.08.2023	1915	1926	1913	1921
27.08.2023	1915	1916	1914	1915
26.08.2023	1915	1915	1915	1915
25.08.2023	1916	1922	1903	1915
24.08.2023	1917	1923	1911	1916
23.08.2023	1898	1920	1898	1918
22.08.2023	1900	1904	1889	1898
21.08.2023	1890	1899	1885	1895
20.08.2023	1889	1889	1889	1889
19.08.2023	1889	1889	1889	1889
18.08.2023	1891	1896	1886	1889
17.08.2023	1893	1903	1884	1891
16.08.2023	1900	1907	1891	1893
15.08.2023	1907	1911	1896	1902
14.08.2023	1914	1916	1902	1907
13.08.2023	1914	1916	1912	1914
12.08.2023	1914	1914	1914	1914
11.08.2023	1912	1921	1911	1914
10.08.2023	1917	1930	1910	1912
09.08.2023	1925	1932	1913	1917
08.08.2023	1937	1937	1922	1926
07.08.2023	1945	1945	1931	1937
06.08.2023	1943	1943	1943	1943
05.08.2023	1943	1943	1943	1943
04.08.2023	1935	1947	1930	1943
03.08.2023	1936	1939	1930	1936
02.08.2023	1951	1955	1933	1936
01.08.2023	1964	1965	1940	1952
31.07.2023	1957	1972	1952	1964
30.07.2023	1959	1962	1957	1958
29.07.2023	1959	1959	1959	1959
28.07.2023	1947	1963	1945	1959
27.07.2023	1972	1982	1942	1947
26.07.2023	1965	1978	1961	1972
25.07.2023	1954	1966	1951	1965
24.07.2023	1961	1968	1953	1954
23.07.2023	1962	1963	1959	1961
22.07.2023	1962	1962	1962	1962
21.07.2023	1971	1974	1957	1962
20.07.2023	1978	1987	1965	1972
19.07.2023	1977	1981	1969	1978
18.07.2023	1954	1984	1954	1977
17.07.2023	1953	1960	1945	1955
16.07.2023	1955	1958	1951	1953
15.07.2023	1955	1955	1955	1955
14.07.2023	1960	1964	1950	1955
13.07.2023	1958	1963	1952	1960
12.07.2023	1933	1960	1933	1958
11.07.2023	1924	1939	1924	1933
10.07.2023	1925	1927	1912	1925
09.07.2023	1926	1928	1923	1925
08.07.2023	1926	1926	1926	1926
07.07.2023	1911	1935	1909	1926
06.07.2023	1917	1927	1902	1912
05.07.2023	1926	1935	1914	1917
04.07.2023	1920	1931	1919	1926
03.07.2023	1918	1931	1909	1921
02.07.2023	1919	1920	1917	1918
01.07.2023	1919	1919	1919	1919
30.06.2023	1908	1923	1900	1919
29.06.2023	1909	1913	1892	1909
28.06.2023	1914	1917	1903	1910
27.06.2023	1922	1930	1910	1915
26.06.2023	1925	1933	1920	1922
25.06.2023	1921	1927	1921	1925
24.06.2023	1921	1921	1921	1921
23.06.2023	1914	1937	1909	1921
22.06.2023	1934	1934	1912	1914
