Dato	Åben	Højeste	Laveste	Slutkurs	Antal
04.09.2023	1280	1286	1266	1275	5227
01.09.2023	1280	1287	1263	1279	11531
31.08.2023	1336	1355	1323	1333	9346
30.08.2023	1350	1357	1316	1325	11551
29.08.2023	1287	1373	1279	1345	18187
28.08.2023	1286	1305	1277	1299	11205
25.08.2023	1287	1297	1278	1291	4140
24.08.2023	1294	1310	1280	1287	7689
23.08.2023	1275	1286	1269	1278	6939
22.08.2023	1275	1280	1269	1275	11047
21.08.2023	1290	1290	1267	1274	11057
18.08.2023	1304	1317	1285	1290	22894
17.08.2023	1417	1420	1391	1398	13859
16.08.2023	1431	1435	1426	1435	7450
15.08.2023	1441	1445	1435	1442	7835
14.08.2023	1445	1452	1437	1448	5922
11.08.2023	1424	1448	1424	1443	8771
10.08.2023	1431	1431	1410	1421	4687
09.08.2023	1438	1460	1438	1445	10107
08.08.2023	1399	1442	1399	1434	12988
07.08.2023	1397	1404	1382	1384	18125
04.08.2023	1418	1420	1396	1397	7335
03.08.2023	1421	1433	1410	1418	9906
02.08.2023	1421	1434	1420	1423	11030
01.08.2023	1385	1392	1380	1383	9901
31.07.2023	1405	1406	1392	1392	8007
28.07.2023	1395	1412	1388	1407	3202
27.07.2023	1384	1404	1374	1391	9912
26.07.2023	1370	1390	1366	1385	8637
25.07.2023	1368	1385	1362	1374	9250
24.07.2023	1408	1415	1356	1374	12076
21.07.2023	1400	1415	1400	1415	7349
20.07.2023	1404	1422	1392	1400	4019
19.07.2023	1394	1403	1383	1398	5695
18.07.2023	1403	1403	1382	1385	9431
17.07.2023	1421	1425	1400	1412	10724
14.07.2023	1463	1469	1454	1468	8533
13.07.2023	1436	1448	1420	1426	7332
12.07.2023	1496	1502	1455	1460	6671
11.07.2023	1497	1503	1480	1496	6968
10.07.2023	1497	1504	1486	1494	9262
07.07.2023	1510	1525	1497	1508	7569
06.07.2023	1535	1585	1500	1515	20746
05.07.2023	1533	1535	1501	1511	11138
04.07.2023	1534	1545	1530	1533	6924
03.07.2023	1510	1545	1510	1534	9891
30.06.2023	1522	1550	1455	1486	25221
29.06.2023	1499	1540	1485	1519	9514
28.06.2023	1499	1505	1475	1501	9892
27.06.2023	1485	1523	1476	1500	10555
26.06.2023	1479	1502	1473	1489	20908
22.06.2023	1466	1485	1442	1459	31814
21.06.2023	1417	1465	1414	1464	29304
20.06.2023	1300	1316	1293	1313	13816
19.06.2023	1267	1292	1267	1277	7192
16.06.2023	1213	1230	1209	1229	6180
15.06.2023	1202	1207	1188	1190	10679
14.06.2023	1244	1254	1241	1246	5304
13.06.2023	1263	1280	1244	1244	10174
12.06.2023	1263	1269	1250	1253	11438
09.06.2023	1293	1310	1286	1297	4238
08.06.2023	1303	1306	1285	1294	6688
07.06.2023	1323	1332	1290	1303	10185
05.06.2023	1315	1320	1305	1305	4905
02.06.2023	1323	1327	1307	1320	6765
01.06.2023	1321	1328	1312	1323	4114
31.05.2023	1350	1354	1325	1333	5322
30.05.2023	1363	1380	1363	1365	7409
29.05.2023	1370	1384	1361	1361	9184
26.05.2023	1284	1317	1280	1307	5769
25.05.2023	1267	1290	1265	1284	9057
24.05.2023	1282	1294	1256	1267	8039
23.05.2023	1303	1316	1303	1314	6359
22.05.2023	1279	1290	1268	1284	7850
19.05.2023	1282	1292	1271	1292	24162
17.05.2023	1270	1274	1259	1270	1297
16.05.2023	1272	1275	1262	1269	4296
15.05.2023	1287	1297	1277	1286	9457
12.05.2023	1226	1242	1217	1232	12324
11.05.2023	1288	1288	1262	1272	4706
10.05.2023	1276	1314	1271	1304	5729
09.05.2023	1274	1290	1269	1270	6087
08.05.2023	1307	1307	1279	1290	14731
05.05.2023	1360	1374	1349	1361	12210
04.05.2023	1356	1372	1339	1360	13033
03.05.2023	1335	1348	1307	1314	10800
02.05.2023	1313	1342	1305	1334	10683
28.04.2023	1383	1387	1351	1359	11859
27.04.2023	1349	1383	1340	1383	10598
26.04.2023	1319	1407	1313	1400	26084
25.04.2023	1265	1277	1262	1273	9790
24.04.2023	1290	1290	1263	1265	14651
21.04.2023	1315	1330	1306	1315	7552
20.04.2023	1369	1370	1340	1344	12816
19.04.2023	1419	1425	1371	1386	12276
18.04.2023	1401	1438	1398	1419	13922
17.04.2023	1420	1423	1387	1395	15136
14.04.2023	1455	1460	1438	1439	15162
13.04.2023	1419	1440	1419	1434	9726
12.04.2023	1429	1446	1409	1413	15287
11.04.2023	1439	1449	1434	1446	21957
06.04.2023	1327	1334	1313	1320	4694
05.04.2023	1329	1350	1315	1321	10270
04.04.2023	1324	1337	1302	1303	8473
03.04.2023	1324	1348	1312	1324	10199
31.03.2023	1324	1359	1292	1345	16003
30.03.2023	1357	1369	1331	1343	24214
29.03.2023	1319	1361	1319	1341	24485
28.03.2023	1269	1275	1246	1264	13391
27.03.2023	1323	1329	1245	1269	15692
24.03.2023	1329	1341	1301	1341	18767
23.03.2023	1291	1348	1275	1329	19837
22.03.2023	1326	1362	1314	1349	22150
21.03.2023	1305	1333	1289	1326	21797
20.03.2023	1345	1369	1298	1305	39539
17.03.2023	1229	1286	1229	1256	46336
16.03.2023	1162	1197	1160	1175	8824
15.03.2023	1177	1210	1155	1157	23096
14.03.2023	1159	1271	1154	1232	34896
13.03.2023	1054	1170	1029	1145	38487
10.03.2023	944.5	953.8	921	939	33709
09.03.2023	1031	1039	1023	1026	10295
08.03.2023	1054	1059	1040	1048	4715
07.03.2023	1039	1067	1039	1061	9454
06.03.2023	1043	1052	1039	1048	8301
03.03.2023	1048	1048	1038	1043	13659
02.03.2023	1099	1102	1090	1098	9767
01.03.2023	1103	1124	1102	1108	6428
28.02.2023	1081	1102	1077	1095	8103
27.02.2023	1098	1115	1080	1088	7619
24.02.2023	1114	1124	1075	1081	13276
23.02.2023	1137	1149	1105	1119	10188
22.02.2023	1126	1130	1099	1106	15994
21.02.2023	1169	1180	1131	1137	13526
20.02.2023	1143	1175	1140	1154	19994
17.02.2023	1119	1148	1110	1135	13221
16.02.2023	1150	1192	1143	1169	24436
15.02.2023	1027	1070	1022	1062	10997
14.02.2023	997	1030	990.9	1016	11460
13.02.2023	1012	1015	987.5	993	8538
10.02.2023	1003	1012	992.3	1000	17985
09.02.2023	1072	1073	1033	1036	16533
08.02.2023	1088	1098	1075	1075	7476
07.02.2023	1093	1100	1086	1089	9364
06.02.2023	1092	1105	1077	1103	10170
03.02.2023	1097	1118	1083	1115	12022
02.02.2023	1097	1115	1097	1107	19875
01.02.2023	1079	1080	1066	1070	10213
31.01.2023	1071	1092	1065	1080	7569
30.01.2023	1092	1098	1063	1074	15268
27.01.2023	1067	1074	1054	1070	11168
26.01.2023	1049	1067	1044	1061	14881
25.01.2023	1044	1045	1024	1043	14086
24.01.2023	1054	1060	1043	1052	13609
23.01.2023	1038	1066	1035	1052	28275
20.01.2023	960	975	956	972	8547
19.01.2023	951.2	963.9	943	960	8243
18.01.2023	983.8	990	935.8	940.5	20319
17.01.2023	974	999	974	983.3	21903
16.01.2023	971.3	976	948.3	973.9	33782
13.01.2023	853.6	883.4	852.4	877	28239
12.01.2023	823.5	836.5	818	827.3	12176
11.01.2023	784.2	793.9	783.1	784.8	5476
10.01.2023	769.7	781.5	766	780.3	7365
09.01.2023	774.5	781.1	771.4	774	10755
05.01.2023	758.3	760.5	756.1	760.3	1635
04.01.2023	759	761.9	755.9	758.3	9490
03.01.2023	748.9	759.8	748.7	752.2	11233
02.01.2023	745	751.4	744	747	8604
30.12.2022	735.7	738.9	723	736.2	13261
29.12.2022	740.8	744.7	737.1	739.1	2128
28.12.2022	741.2	745.4	736.8	742.4	7740
27.12.2022	756.3	756.6	747.2	747.2	7986
23.12.2022	752.1	759.8	752	756.8	6689
22.12.2022	744.2	756	740.7	742.5	8761
21.12.2022	749.3	753	744.3	750.7	9116
20.12.2022	747.4	756	743.5	752	11419
19.12.2022	740.4	744.7	733.6	737	9728
16.12.2022	780	781.3	748	748	16109
15.12.2022	783.7	784	766.3	773.3	7132
14.12.2022	783.4	799.9	781.1	799.9	8392
13.12.2022	757.5	795	756.8	779	19775
12.12.2022	755.2	759.4	749.2	757.5	3786
09.12.2022	764	770.8	760.3	765.5	5194
08.12.2022	749.5	754.8	747.6	754.2	3433
07.12.2022	752.1	754.8	746	749.6	6338
06.12.2022	762.9	763.4	754.5	757.5	4755
05.12.2022	769.1	774.7	758.3	763.7	12195
02.12.2022	752	761	749.1	757.4	6583
01.12.2022	774	777	752.3	755	9941
30.11.2022	766.5	774.7	760.7	772.7	8683
29.11.2022	740	745.6	738	739.9	8800
28.11.2022	729.2	729.2	716	720.2	7860
25.11.2022	734	742.6	729.5	735	6049
24.11.2022	741.7	747.6	732.4	741.3	4837
23.11.2022	753.3	758.4	735	738.8	9397
22.11.2022	718.8	746.4	711.8	739	29090
21.11.2022	739.6	748.6	731.5	735	11985
18.11.2022	763.9	774.4	760.7	760.9	15753
17.11.2022	747	770.6	747	763.3	16589
16.11.2022	761.6	761.6	738	740	8749
15.11.2022	748.4	771.9	748.4	764.5	11474
14.11.2022	752	776.8	738.8	745	21829
11.11.2022	808.6	808.6	738	744.8	30604
10.11.2022	800	835	765.7	829.8	45291
09.11.2022	866.8	866.8	800	806	56521
08.11.2022	954.5	964.2	915.9	962	23718
07.11.2022	1010	1010	996.8	1002	9916
04.11.2022	1026	1029	1019	1019	4472
03.11.2022	1007	1017	1001	1009	10052
02.11.2022	1003	1006	996.9	1004	8343
01.11.2022	1007	1010	992.4	1005	8326
31.10.2022	1004	1023	995.1	1010	16631
28.10.2022	991.9	1004	975	999.7	12101
27.10.2022	1010	1013	993.9	1004	7497
26.10.2022	983.5	1025	983.5	1010	19545
25.10.2022	956.3	958.8	947	953.7	9769
24.10.2022	958.8	973.1	952.3	956.3	12376
21.10.2022	954.6	957.3	942.3	948.5	16772
20.10.2022	950.1	957.9	947.7	956.6	9786
19.10.2022	947.1	954.8	944	954.3	5324
18.10.2022	966.5	969.7	952.5	955	7281
17.10.2022	966.3	980	962.2	967	12465
14.10.2022	988.6	994.2	970	975	14826
13.10.2022	962.2	962.2	917.7	939.6	23575
12.10.2022	960.2	969	958	962.2	5982
11.10.2022	959.8	967.5	951.1	958	10869
10.10.2022	969.1	977.1	961.4	972.3	9240
07.10.2022	989.5	992	963.1	969.3	13165
06.10.2022	981.1	999	979.7	991	22677
05.10.2022	975.6	984.1	963.5	974.1	19574
04.10.2022	961	981.4	961	971.6	33548
03.10.2022	945	950.8	941.3	947	23876
30.09.2022	961.5	997	952	991.6	9186
29.09.2022	975	979	937.5	961.5	12656
28.09.2022	947.8	979	939.4	979	16373
27.09.2022	1011	1019	1004	1015	21828
26.09.2022	943.9	960.9	927.8	951.2	152580
23.09.2022	959.3	963.6	927.5	940.3	19116
22.09.2022	931	950.7	925.6	934.4	17010
21.09.2022	924.1	957	920	943.9	12560
20.09.2022	927.4	942.7	909.4	924.1	24423
19.09.2022	890.5	938.1	883.7	925	22867
16.09.2022	950.3	961.9	942	946.7	10836
15.09.2022	970	981	937.3	946.6	14388
14.09.2022	973.7	980.1	962	970.5	14415
13.09.2022	1064	1085	1001	1005	61868
12.09.2022	1037	1070	1035	1061	82031
09.09.2022	981.5	1014	972.7	1009	23548
08.09.2022	911.2	924.1	904.9	921.4	9035
07.09.2022	901.8	903	892.2	900	24423
06.09.2022	952.9	960.6	949	950.2	11509
05.09.2022	960.6	960.6	945.3	959.5	11331
02.09.2022	965	980	960.4	970.5	9979
01.09.2022	952.5	963	944.3	948.8	9335
31.08.2022	961.6	975.1	944.4	950.5	9842
